fund,group,company,sector,country,headcount,headcount_num,employee_participation,participation_bucket,participation_source_url,participation_quote,headcount_source_url
Battery Ventures,vc,"Nutanix, Inc.",Infrastructure software (hybrid multicloud / hyperconverged infrastructure),United States,"7,800 (as of July 31, 2025, FY2025 10-K)",7800,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001618732/000119312525213801/ntnx-20250731.htm,"No source documents broad employee ownership or an ESOP; Nutanix is a public company using standard equity-incentive (options/RSU) plans. Classified at face value, not from an explicit ownership claim.",https://stockanalysis.com/stocks/ntnx/employees/
Battery Ventures,vc,Coupa Software,Application software (business spend management / procurement),United States,"~3,400-4,600 (aggregator estimates; company taken private by Thoma Bravo in 2023, no current 10-K)",3400,unknown/not public,unknown,https://pitchbook.com/profiles/company/51588-19,No source found on employee-ownership structure; private since 2023 acquisition by Thoma Bravo. Headcount figures are third-party estimates and vary by source.,https://www.reveliolabs.com/companies/coupa-software/employees/
Battery Ventures,vc,Akamai Technologies,"Infrastructure software / cloud delivery, security and compute",United States,"11,000 (as of December 31, 2025, FY2025 10-K)",11000,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001086222/000108622226000022/akam-20251231.htm,No public source documents broad employee ownership or an ESOP trust; Akamai is a public company with conventional equity-compensation plans. Face-value classification.,https://stockanalysis.com/stocks/akam/employees/
Battery Ventures,vc,SolarWinds,Infrastructure / IT operations and observability software,United States,"2,107 (as of December 31, 2024, FY2024 10-K)",2107,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001739942/000173994225000013/swi-20241231.htm,"No source documents broad-based employee ownership or an ESOP; SolarWinds uses standard equity-incentive plans. Face-value classification, not an explicit ownership claim.",https://stockanalysis.com/stocks/swi/employees/
Battery Ventures,vc,Coinbase Global,Consumer / fintech (cryptocurrency exchange) — EXIT (IPO 2021),United States,"3,772 (as of December 31, 2024, FY2024 10-K)",3772,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001679788/000167978825000022/coin-20241231.htm,"No source documents broad employee ownership or an ESOP; public company with standard equity-comp. Listed as a Battery exit/IPO, not necessarily a current holding.",https://www.sec.gov/Archives/edgar/data/0001679788/000167978825000022/coin-20241231.htm
Battery Ventures,vc,Affirm Holdings,Consumer / fintech (buy-now-pay-later) — EXIT (IPO 2021),United States,"2,206 (FY2025, fiscal year ended June 30, 2025)",2206,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001820953/000182095325000080/afrm-20250630.htm,No source documents broad employee ownership or an ESOP; public company with conventional equity-incentive plans. Battery exit/IPO.,https://www.macrotrends.net/stocks/charts/AFRM/affirm-holdings/number-of-employees
Battery Ventures,vc,Wayfair,"Consumer internet (e-commerce, home goods) — EXIT (IPO 2014)",United States,"~13,500 total (~12,100 full-time equivalents) as of December 31, 2024 (FY2024 10-K)",13500,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/1616707/000161670725000022/w-20241231.htm,No source documents broad-based employee ownership or an ESOP; public company with standard RSU/option compensation. Battery exit/IPO.,https://www.sec.gov/Archives/edgar/data/1616707/000161670725000022/w-20241231.htm
Battery Ventures,vc,Glassdoor,Consumer internet / HR-tech (jobs and company reviews) — EXIT (acquired by Recruit Holdings 2018; now under Indeed),United States,"~1,700 (aggregator estimate, 2024; figures vary 500-1,750 across sources)",1700,unknown/not public,unknown,https://en.wikipedia.org/wiki/Glassdoor,"No source found on employee-ownership structure; acquired/private since 2018, no public filings. Headcount is a third-party estimate only.",https://www.owler.com/company/glassdoor
Accel,vc,Atlassian,Enterprise software / SaaS (developer & team collaboration),Australia / United States (HQ Sydney & US-domesticated; NASDAQ: TEAM),"13,813 full-time employees as of June 30, 2025 (FY2025 10-K)",13813,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001650372/000165037224000036/Financial_Report.xlsx,"Atlassian maintains the Amended and Restated 2015 Share Incentive Plan and the Amended and Restated 2015 Employee Share Purchase Plan (ESPP), with 5,700,000 Class A shares reserved under the ESPP and 20,700,000 reserved under the Share Incentive Plan; employee compensation includes RSUs. Broad-based equity program (RSUs + ESPP), not an ESOP or broad employee ownership.",https://www.sec.gov/Archives/edgar/data/0001650372/000165037225000036/team-20250630.htm
Accel,vc,CrowdStrike,Cybersecurity (endpoint / cloud security SaaS),United States (NASDAQ: CRWD),"10,118 employees as of January 31, 2025 (FY2025 10-K)",10118,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001535527/000153552725000009/crwd-20250131.htm,"Public US tech company; equity compensation via RSUs and an Employee Stock Purchase Plan per its 10-K stock-based compensation disclosures. Broad-based program, value concentrated; no ESOP / broad employee ownership.",https://www.sec.gov/Archives/edgar/data/0001535527/000153552725000009/crwd-20250131.htm
Accel,vc,Spotify,Consumer internet / audio streaming,Sweden / Luxembourg (HQ Stockholm; incorporated Luxembourg; NYSE: SPOT),"7,261 full-time employees as of Dec 31, 2025 (Q4 2025); avg 7,287 in 2025",7261,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001639920/000162828026006874/ck0001639920-20251231.htm,"""Spotify uses restricted stock units (RSUs) and stock options as part of its employee compensation package... By connecting employees' economic interests to the Group's results and value trend, a long-term increase in value is promoted."" Maximum aggregate shares under the employee stock option Pool capped at 20,000,000. Broad equity program, not an ESOP.",https://www.statista.com/statistics/245130/number-of-spotify-employees/
Accel,vc,UiPath,Enterprise software (robotic process automation / AI agents),"United States / Romania (HQ New York, founded Romania; NYSE: PATH)","3,868 full-time employees as of January 31, 2025 (FY2025 10-K)",3868,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001734722/000173472225000007/path-20250131.htm,Public US tech company with RSU-based equity compensation and an Employee Stock Purchase Plan per its 10-K equity-plan disclosures. Broad-based program; no ESOP / broad employee ownership.,https://www.sec.gov/Archives/edgar/data/0001734722/000173472225000007/path-20250131.htm
Accel,vc,Freshworks,Enterprise software / SaaS (customer & IT service software),"United States / India (HQ San Mateo, founded Chennai; NASDAQ: FRSH)","~4,400 employees as of December 31, 2024 (FY2024 10-K)",4400,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001544522/000154452225000010/frsh-20241231.htm,"Public US tech company; equity compensation via RSUs and an ESPP per its 10-K. Broad-based equity program, value concentrated; no ESOP / broad employee ownership documented.",https://www.sec.gov/Archives/edgar/data/0001544522/000154452225000010/frsh-20241231.htm
Accel,vc,Klaviyo,Marketing technology / SaaS (email & SMS marketing automation),United States (HQ Boston; NYSE: KVYO),"2,182 employees as of December 31, 2024 (FY2024 10-K), up from 1,815 in 2023",2182,standard options/RSU (concentrated),none/standard-vc,https://www.sec.gov/Archives/edgar/data/0001835830/000183583025000014/kvyo-20241231.htm,"Operates a 2023 Stock Option and Incentive Plan (RSUs) and an Employee Stock Purchase Plan; issued 206,156 shares under the ESPP during the nine months ended Sept 30, 2024. Broad-based equity program, not an ESOP / broad employee ownership.",https://www.sec.gov/Archives/edgar/data/0001835830/000183583025000014/kvyo-20241231.htm
Accel,vc,Scale AI,AI infrastructure / data labeling,United States (HQ San Francisco; private),"Ambiguous: ~1,000–1,200 full-time corporate employees (Oct 2025), but third-party trackers report ~5,800–6,773 including contractors. No single official figure.",1000,unknown/not public,unknown,https://en.wikipedia.org/wiki/Scale_AI,Private company; no public disclosure of an ESOP or broad employee ownership. Standard VC-backed startup equity (option pool) presumed but specifics not public.,https://en.wikipedia.org/wiki/Scale_AI
Accel,vc,Vercel,"Developer tools / cloud (frontend deployment, Next.js)",United States (HQ San Francisco; private),Not reliably public via an official source (private company); only third-party estimates available — reported here as not public to avoid laundering an estimate.,,unknown/not public,unknown,https://en.wikipedia.org/wiki/Vercel,Private company; no public disclosure of an ESOP or broad employee ownership. Standard VC-backed startup option pool presumed but not publicly documented.,https://en.wikipedia.org/wiki/Vercel
Sequoia Capital,vc,Airbnb,Consumer internet / travel marketplace,United States,"7,300 full-time employees as of December 31, 2024 (8,200 as of December 31, 2025)",7300,standard options/RSU (concentrated),none/standard-vc,https://en.wikipedia.org/wiki/Sequoia_Capital,"Public company; standard equity compensation (RSUs and an employee stock purchase plan). Specific equity-comp structure not verified from the 10-K/proxy in this research, so treated as standard VC-track equity rather than broad worker ownership.",https://stockanalysis.com/stocks/abnb/employees/
Sequoia Capital,vc,DoorDash,Local commerce / on-demand delivery marketplace,United States,"23,700 employees as of December 31, 2024 (31,400 as of December 31, 2025); note this counts corporate/W-2 staff, separate from ~8 million independent-contractor 'Dashers' in 2024",23700,unknown/not public,unknown,https://stockanalysis.com/stocks/dash/employees/,"Public company with standard equity compensation; precise structure (RSU/option/ESPP terms) not verified from a primary source in this research, so marked unknown rather than asserted. Not a broad employee-ownership / ESOP / profit-sharing structure based on available evidence.",https://stockanalysis.com/stocks/dash/employees/
Sequoia Capital,vc,Nvidia,Semiconductors / AI computing hardware (long-held Sequoia investment from the 1990s),United States,"36,000 employees as of January 26, 2025 (42,000 as of January 25, 2026)",36000,unknown/not public,unknown,https://stockanalysis.com/stocks/nvda/employees/,"Public company with standard broad-based equity compensation (RSUs and an employee stock purchase plan); exact terms not verified from a primary source in this research, so marked unknown. Not a cooperative/ESOP/profit-sharing ownership model.",https://stockanalysis.com/stocks/nvda/employees/
Sequoia Capital,vc,Stripe,Fintech / payments infrastructure (private),"United States (incorporated US; founded by Irish founders, dual HQ San Francisco & Dublin)","not public (private company; no 10-K. Official 2025 letter did not state a headcount; widely cited estimates of ~8,000-10,000 come from non-authoritative blogs and were NOT used)",10,standard options/RSU (concentrated),none/standard-vc,https://stripe.com/newsroom/news/stripe-2025-update,"Stripe has signed agreements with investors to provide liquidity to current and former Stripe employees through a tender offer at a $159B (€135B) valuation. (Indicates employees hold company equity that is periodically made liquid via tender offers - standard private-VC-backed equity, not broad/cooperative ownership.)",https://stripe.com/newsroom/news/stripe-2025-update
