entity_id,name,asset_class,liquidity_band,horizon_years,tech_enabled,tier,confidence,website,exit_quote,audit_flag,source_note,country,allocator,evidence_signal,liquidity_evidence_url,liquidity_evidence_note
inversion-capital,Inversion Capital,Permanent,Permanent,,yes,verified,med,https://www.inversioncap.com/,"Permanent capital — no fund timeline, no exit pressure","needs_review: third-party (PitchBook/insights4vc) describes a dual-entity 'crypto-native private equity' model raising a separate PE fund under the Inversion Capital banner, which may conflict with the never-sell self-description; legal entity Inversion Labs Ltd registered in Cayman Islands while HQ reported as New York (third-party); targets are traditional businesses - tech angle is acquirer-side modernization (blockchain platform), not software targets",audited 2026-07-02: https://www.inversioncap.com/,United States,yes,"Describes itself as a buyer of profitable established businesses ($1M+ EBITDA) with finance-related inefficiencies and outdated systems, which it modernizes with its own technology platform while holding majority ownership forever, likening its start to Berkshire Hathaway and Constellation Software.",,
jonas-software,Jonas Software,Permanent,Permanent,,yes,verified,high,https://jonassoftware.com/being-acquired,We have never sold a business. Selling to Jonas means you have found a permanent home.,operating group / 100% subsidiary of Constellation Software Inc. - check for double-counting with any Constellation-family rows in the atlas; HQ from third-party sources,audited 2026-07-02: https://jonassoftware.com/being-acquired,Canada,yes,"Describes itself as a buy-and-hold acquirer of vertical market software businesses with a 'Software for Life' promise to never sell acquired companies, operating a decentralized structure across 175+ software companies in 30+ countries.",,
kastellet-holdings,Kastellet Holdings,Permanent,Permanent,,no,verified,high,https://www.kastholdings.com/,Hold period: Permanent,needs_review: resolves tech_enabled 'flagged-pending' -> false: no software/tech target focus on site ('Technology adoption strengthens the moat' is only a screening criterion; targets are general niche middle-market businesses) - likely fails tech-enabled admission filter; liquidity_band updated Unknown -> Permanent,audited 2026-07-02: https://www.kastholdings.com/,United States,yes,"Describes itself as a buyer of good durable middle-market businesses with recurring revenue that it helps become great through continuous compounding investment in people and systems, with permanent capital and no exit timeline.",,
leo-software-group,Leo Software Group,Permanent,Permanent,,yes,verified,high,https://www.leosoftwaregroup.com/,buy and operate software businesses that we want to own forever,backed by Constellation Software Inc. (TSX: CSU) and Vela Software - check for operating-group overlap/double-counting with Constellation-family rows; HQ from third-party (CB Insights),audited 2026-07-02: https://www.leosoftwaregroup.com/,Canada,yes,"Describes itself as a specialist acquirer of undervalued and underutilized B2B software businesses (automotive, public sector, healthcare, retail, ecommerce) providing a permanent home, strategic investment, and long-term growth backed by Constellation Software Inc.'s acquisition expertise.",,
long-tail-ventures,Long Tail Ventures,Permanent,Permanent,,yes,verified,med,https://ltv.so/,"No forced exits, no artificial timelines. We hold and grow businesses for durable value.","site also states 'If an exceptional exit opportunity arises, we may pursue it — but exits are optional, not required' - softer than pure never-sell permanence; raises selective deal-by-deal outside capital; LTV Holdings Ltd jurisdiction unstated (Dubai from founder bio + LinkedIn); liquidity_band updated Unknown -> Permanent",audited 2026-07-02: https://ltv.so/,United Arab Emirates,yes,"Describes itself as a holding company that acquires and operates proven online businesses (content sites, e-commerce, SaaS, digital properties) for long-term compounding, explicitly rejecting fixed fund timelines, forced exits, and pressure to manufacture liquidity.",,
micro-saas-capital,Micro SaaS Capital,Permanent,Permanent,,yes,verified,high,https://microsaascapital.com/,"We build for the long-term with permanent capital - our holding period is forever (we do not ""flip"").",,audited 2026-07-02: https://microsaascapital.com/,Canada,yes,"Describes itself as an acquirer and builder of small, underappreciated SaaS businesses that don't fit traditional venture capital or private equity criteria, offering founders simple cash-upfront exits and permanent ownership focused on sustainable growth.",,
mosaic-software-group,Mosaic Software Group,Permanent,Permanent,,yes,verified,high,https://www.mosaicsoftwaregroup.com/,"We think in decades, not quarters or years.",,audited 2026-07-02: https://www.mosaicsoftwaregroup.com/,United States,yes,"Describes itself as acquiring, enhancing, and growing mission-critical B2B software companies (SaaS or on-premise, $1-10M ARR), positioning itself as 'the best permanent home for ambitious B2B software companies' with a buy-and-hold philosophy.",,
permanent-corp,Permanent Corp,Permanent,Permanent,,yes,verified,high,https://permanentcorp.com/,"We are a long-term owner, not a fund with an exit deadline.","needs_review: tech_enabled downgraded yes->false — homepage targets generic 'profitable, niche B2B businesses' with no software/tech/SaaS mention (parent Valsef may be tech-oriented but the fetched pages do not say so); HQ country inferred only from (514) Montreal-area phone number, no address published | tech_enabled disagreement: csv=yes audit=no",audited 2026-07-02: https://permanentcorp.com/,Canada,yes,"Describes itself as a long-term acquirer and 'perpetual home' for profitable, niche B2B businesses with strong cashflows and asset-light operations, providing capital, stability, and autonomy under decentralized leadership.",,
permanent-equity,Permanent Equity,Permanent,Permanent,30,yes,verified,high,https://www.permanentequity.com/,We invest with no intention of selling (and have never sold a portfolio company).,tech_enabled downgraded yes->false — investment criteria are sector-agnostic (profit/growth thresholds only); no software/tech targeting stated on fetched pages | tech_enabled disagreement: csv=yes audit=no,audited 2026-07-02: https://www.permanentequity.com/,United States,yes,"Describes itself as 'a private equity firm investing 30-year committed funds in companies that care what happens next', a generational partner that avoids forced actions; targets businesses by profit level ($2-25M+ net profits), not by sector.",https://www.permanentequity.com/,homepage
quadra-group,Quadra Group,Permanent,Permanent,,yes,verified,med,https://www.quadragroup.co.uk/,"Quadra Group is a permanent capital holding company, primarily focused on the acquisition and scaling of specialized vertical market software (VMS), and digital service companies in continental Europe.",thin single-page site; contact page 404; no explicit own-capital or never-sell statement beyond 'permanent capital holding company' — footprint confidence lowered,audited 2026-07-02: https://www.quadragroup.co.uk/,United Kingdom,yes,"Describes itself as a permanent capital holding company focused on acquiring and scaling specialized vertical market software (VMS) and digital service companies in continental Europe, leveraging in-house product, operations, and corporate-finance capabilities.",,
rainmatter,Rainmatter (by Zerodha),Permanent,Permanent,,yes,verified,high,https://zerodha.com/z-connect/rainmatter/rainmatter-perennial-investments,Patient capital with no exit mandates that founders can benefit from when building an enterprise,,audited 2026-07-02: https://zerodha.com/z-connect/rainmatter/rainmatter-perennial-investments,India,yes,"Describes itself as Zerodha's own-capital initiative supporting fintech startups helping people invest and trade better, expanded to health, climate, education, and livelihoods — patient capital seeking good, sustainable, long-term businesses rather than rapid returns.",,
shop-circle,Shop Circle,Permanent,Permanent,,yes,verified,med,https://shopcircle.co/,"No pressure to exit, just durable growth","band upgraded Unknown->Permanent on 'No pressure to exit, just durable growth'; caveat: Shop Circle is itself Series-B VC-backed (Crunchbase), so parent-level investors may eventually require liquidity — permanence claim applies to its portfolio holds",audited 2026-07-02: https://shopcircle.co/,United Kingdom,yes,"Describes itself as 'the AI-native home for mission-critical software' that acquires and evolves B2B software for the AI era, offering founders flexible deal structures, decentralised autonomy, and capital for add-on acquisitions.",,
sidenote,Sidenote,Permanent,Permanent,,yes,verified,high,https://sidenotehq.com/,"We buy, build, and grow, micro SaaS businesses to hold and love forever.",,audited 2026-07-02: https://sidenotehq.com/,Portugal,yes,"Describes itself as a bootstrapped holding company slowly building a portfolio of tiny yet profitable SaaS businesses (Ruby on Rails, Python, JS, PHP stacks), growing mostly from its own cash flow.",,
software-combined,Software Combined,Permanent,Permanent,,yes,verified,med,https://softwarecombined.com/,a 'forever home' for your business,"needs_review: band upgraded Unknown->Permanent on 'forever home' language, but no explicit hold-period/never-sell policy stated; third-party (Crunchbase via search) reports the group was acquired by PE firm Navis Capital Partners in 2022, which could constrain the permanence claim; site also mentions 'diverse liquidity options'",audited 2026-07-02: https://softwarecombined.com/,Australia,yes,"Describes itself as an experienced team of local entrepreneurs who invest in successful B2B tech businesses across Europe and Oceania, offering a 'forever home', capital injection, and long-term commitment to the founder's vision.",,
solen-software-group,Solen Software Group,Permanent,Permanent,,yes,verified,high,https://www.solensoftwaregroup.com/why-solen,"As a holding company with an indefinite time horizon, we have no intention of selling your business.",,audited 2026-07-02: https://www.solensoftwaregroup.com/why-solen,United States,yes,"Describes itself as a permanent capital acquisition vehicle partnering alongside founders of enterprise software businesses, running each business 'as if it were our family's only asset for the coming decades' with no exit-timeline pressure.",,
sureswift-capital,SureSwift Capital,Permanent,Permanent,,yes,verified,med,https://www.sureswiftcapital.com/blog/the-sureswift-model,We also never assume an expiration date.,"needs_review: band upgraded Unknown->Permanent on 'never assume an expiration date', but the same page says 'we remain open to lucrative acquisition offers' and it markets 'strong exits' to selling founders while running three LP funds — hybrid hold/sell posture, Permanent vs Under Review judgment call",audited 2026-07-02: https://www.sureswiftcapital.com/blog/the-sureswift-model,United States,yes,"Describes itself as pioneering a unique approach to SaaS investment — acquiring, holding, and growing a diverse portfolio of B2B SaaS businesses across three funds with its own operator teams, delivering continuing cash-on-cash returns for investors rather than timed exits.",,
tag-software-group,TAG Software Group,Permanent,Permanent,,yes,verified,high,https://www.tagsoftwaregroup.com/,Permanent capital: We provide stability and brand protection with no pressure to sell or exit,HQ country not stated on own site (contact page has only an email); Canada inferred from parent Valsoft (Montreal) via third-party sources — one WebSearch used.,audited 2026-07-02: https://www.tagsoftwaregroup.com/,Canada,yes,"Describes itself as a permanent home for mission-critical software companies serving SMB, enterprise, and public sector customers — 'we don't buy to sell' — operating as an entrepreneurial software acquirer within the Valsoft group.",,
teoh-capital,Teoh Capital,Permanent,Permanent,,yes,verified,high,https://teohcapital.com/,"we invest without a fixed time horizon. Many investors, including most private equity and Venture capital companies, have a limited time horizon",Self-labels 'Australian private equity firm' but the permanent/no-fixed-horizon thesis clearly distinguishes it from exit-driven traditional PE; also invests in non-tech 'brands and enduring businesses' alongside B2B software.,audited 2026-07-02: https://teohcapital.com/,Australia,yes,"Describes itself as a majority and significant-minority investment partner for software, brands, and enduring businesses, offering flexible, permanent capital led by founder-investor David Teoh, a leading software investor in Australia.",,
tiny,Tiny,Permanent,Permanent,decades,yes,verified,high,https://www.tiny.com/,We're not flipping businesses in a few years. We look for companies we'd be proud to hold for decades.,stored Nimble/4y band contradicted by live long-term/decades evidence; corrected to Permanent band in audit.,audited 2026-07-02: https://www.tiny.com/,Canada,yes,"Tiny buys and owns wonderful businesses, including software, marketplaces, communities, and internet products, and explicitly contrasts itself with PE flipping.",https://www.tiny.com/companies,homepage
upliift,Upliift,Permanent,Permanent,,yes,verified,high,https://upliift.com/,"As your permanent equity partner, we focus on European B2B software companies in niche markets where deep expertise matters.",,audited 2026-07-02: https://upliift.com/,United Kingdom,yes,Describes itself as the only European software investor letting founders sell a majority stake yet stay involved and share in future success; partners with founders of European B2B software companies with EUR 1-25m revenue and deploys ~EUR 50M per year.,,
waverock-software,Waverock Software,Permanent,Permanent,,yes,verified,high,https://waverocksoftware.com/,Most acquirers of vertical software operate on a four-to-six year clock. We don't.,"Stored band was 'Unknown' — updated to Permanent based on explicit no-clock, long-term-hold self-description.",audited 2026-07-02: https://waverocksoftware.com/,United States,yes,"Describes itself as 'a long-term home for niche software businesses — not a fund waiting to flip them', buying great businesses in overlooked markets ($2-15M ARR) with founders rolling 20% of proceeds into Waverock equity.",,
bridges-evergreen,Bridges Evergreen Holdings,Impact Capital,Permanent,,yes,verified,med,https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/,"With no requirement to seek exits, it can act as a permanent source of capital and support","needs_review: only source is a 2016 launch press page on the parent's site — no current dedicated Evergreen page verified this session; stored tech_enabled=yes NOT supported by page (sectors: health & well-being, education & skills, sustainable living, underserved markets — no software/tech focus stated); HQ inferred from parent's London office. | tech_enabled disagreement: csv=yes audit=no",Sovereign-candidate (impact) | 2026-06-17 reclass Permanent -> Impact Capital (impact/steward). | audited 2026-07-02: https://www.bridgesfundmanagement.com/2016/12/07/bridges-launches-new-evergreen-permanent-capital-vehicle-mission-led-businesses/,United Kingdom,yes,"Described (by parent Bridges) as a permanent capital vehicle structured as a holding company rather than a fund, making equity/quasi-equity investments in profit-with-purpose companies, public sector spin-outs, social sector organisations and employee-owned businesses, producing yield via dividends and loan interest.",,
lasting-ventures-capital,Lasting Ventures Capital,Permanent,Permanent,,yes,verified,high,https://lastingventures.capital/,Não buscamos venda futura. Nossa remuneração vem da distribuição de resultados da operação,"Site is Portuguese-language; quotes are verbatim Portuguese. Page confirms it invests ('investimos', minority stakes) but does not explicitly state own vs LP capital.",No future sale + distribution-based; could be Nimble | audited 2026-07-02: https://lastingventures.capital/,Brazil,yes,"Describes itself (in Portuguese) as investing in B2B enterprise companies that raised early rounds but did not scale, transforming startups into cash-generating technology companies, with 'Sem Pressão de Exit' (no exit pressure) and returns from profit distributions.",,
malpani-ventures,Malpani Ventures,Permanent,Permanent,,yes,verified,high,https://www.malpaniventures.com/blog/a-quiet-reorientation,It means we don't have a forced exit clause in our term sheets.,"special_note owner ruling respected — page evidence supports Permanent, no contradiction found. Self-describes as 'sector-agnostic in spirit' but portfolio includes software (Clodura.AI, Nexxio); tech_enabled kept true. Legal name in footer: Frugality Ventures LLP.","2026-06-08 user-directed reclass Permanent->Nimble: early-stage capital-efficient equity micro-PE (INR 3-10cr first check; 'durability over blitz-scaling'; real portfolio Nexxio/Doco/Clodura.AI), NOT  | 2026-07-02 user-directed reclass Nimble->Permanent (no-exit signal, tie-break) | audited 2026-07-02: https://www.malpaniventures.com/blog/a-quiet-reorientation",India,yes,"Describes itself as providing long-term, structured equity capital — 'patient capital for India's future' — backing frugal founders who run companies as businesses rather than startups, growing 30-40% a year and throwing off cash in markets too small for $1Bn funds.",,
purpose-evergreen-capital,Purpose Evergreen Capital,Impact Capital,Permanent,8-13,yes,verified,high,https://purpose-economy.org/en/pec/,Purpose Evergreen Capital is an evergreen investment fund without pressure to force an exit.,"Stored tech_enabled=yes not supported by page (broad SME/succession focus, no software or tech targeting stated). Stated '8 to 13 years' is contract duration with capped return (self-liquidating instrument), not a company exit event — band stays Permanent. | tech_enabled disagreement: csv=yes audit=no",Sovereign-candidate (steward/impact) | 2026-06-17 reclass Permanent -> Impact Capital (impact/steward). | audited 2026-07-02: https://purpose-economy.org/en/pec/,Germany,yes,"Describes itself as providing patient, value-aligned capital to small and medium-sized enterprises in or transferring to steward-ownership (successions, transfers, growth), refraining from buying decision power through voting rights, with investor returns capped at a maximum rate.",https://purpose-economy.org/en/pec/,homepage
purpose-ventures,Purpose Ventures,Impact Capital,Permanent,,yes,verified,high,https://purpose-economy.org/en/investment/,"Our terms allow companies to stay independent, provide investors liquidity without a sale or exit","tech_enabled kept true based on early-stage/Series-A startup framing, but no explicit software focus stated on page.",Sovereign-candidate (steward/impact) — revisit when Sovereign defined | 2026-06-17 reclass Permanent -> Impact Capital (impact/steward). | audited 2026-07-02: https://purpose-economy.org/en/investment/,Germany,yes,"Describes itself as providing mission-aligned capital to early-stage and Series-A steward-owned startups and businesses so they can grow and succeed without selling themselves, because 'steward-owned companies do not want to exit' and the conventional VC model is often incompatible with the mission.",,
software-circle,Software Circle,Permanent,Permanent,,yes,in_disguise,high,https://softwarecircle.com/,"Providing a permanent home for their teams, management talent and culture.",,"2026-06-06 re-grounded: permanent-hold S2 verbatim confirmed 'permanent home for their teams, management talent and culture'. | audited 2026-07-02: https://softwarecircle.com/",United Kingdom,yes,"Describes itself as a UK-based serial acquirer of vertical market software businesses, positioning as 'the best home for software companies' and continuing operations in an independent, decentralised way with a permanent home for acquired teams.",,
5x-capital,5X Capital,Permanent,Permanent,,yes,provenance,high,https://fivexcapital.com/,We don't operate on a fund clock. Profitable and sustainable companies — compounding value and paying dividends — are worth more than a forced exit.,,Patient no-forced-exit; provenance (no verbatim quote) | audited 2026-07-02: https://fivexcapital.com/,Peru,yes,"Describes itself as patient capital for B2B SaaS & AI companies in Latin America — brings fresh capital to reset the cap table, applies its '5X Operating System', and holds without a fund clock, preferring compounding and dividends over forced exits.",,
ascendant-ventures,Ascendant Ventures,Under Review,Unknown,,no,in_disguise,med,https://ascendantventures.com/,,owner-ruling 2026-07-03: Under Review; Operator/ETA watch candidate,"Traditional/Operator-candidate: generalist small-business ETA buyer; own-page priority sectors 'business services, energ | audited 2026-07-02: https://ascendantventures.com/",United Kingdom,yes,"Describes itself as a private investment company acquiring and running small businesses in the South East of the UK (business services, manufacturing, healthcare, distribution, facilities management), emphasizing low-risk businesses with enduring profitability and stable 3-10% annual growth.",,
perpetuity-project,The Perpetuity Project,Permanent,Permanent,,no,in_disguise,high,https://www.theperpetuityproject.com/,"Lasting value is built over decades, not quarters.","special_note owner belief says Impact Capital, but live page supports Permanent — no explicit impact/mission-investing language found on page; also generic non-tech SMB acquirer (e.g. plumbing/commercial services per acquisitions), so tech_enabled=false conflicts with prior 'flagged-pending' — owner review on both points",Perpetual holdco; target economy possibly traditional | audited 2026-07-02: https://www.theperpetuityproject.com/,United Kingdom,yes,"Describes itself as 'a perpetual home for great businesses' — a holding company acquiring and growing solid small and medium-sized businesses across Europe, committed to honouring the legacy of the businesses it acquires and letting founders stay.",,
microsaas-io,MicroSaaS.io,Studio,Unknown,,yes,verified,low,https://microsaas.io/,,needs_review: homepage returned HTTP 403 on both URL variants; classification and allocator status unverified this session; country from third-party web search only,Studio/acquirer/micro-seed — user-directed to Studio,Denmark,yes,"Homepage could not be fetched (HTTP 403 on both URL variants). Search-result title describes it as 'We build, buy, and back tiny software businesses' (build/buy/back studio-acquirer model), but this was not verified on a fetched page this session.",,
next-wave-partners,Next Wave Partners,Studio,Permanent,,yes,verified,high,https://nextwave.partners/building-forever-businesses/,"eement for Future Equity with Repurchase = revenue-based repurchase, 'no exit required'; founders keep control and buy back equity). Diversi",band set to Studio (stored band was Permanent): no verbatim hold-period/'forever' statement found on either fetched page despite the 'building-forever-businesses' page slug; deep-tech hardware focus (rejects pure software) but still tech-enabled,Venture studio + Safer — user-directed to Studio | audited 2026-07-02: https://nextwave.partners/,Unknown,yes,"Describes itself as a thesis-driven venture studio and fund for deep tech and autonomous technology (perception systems, positioning infrastructure, coordination platforms, data governance), providing patient capital, embedded operators, and founder-aligned revenue-based 'Safer' structures — 'VCs hunt unicorns. We build real businesses.'",,
village-capital,Village Capital,Impact Capital,Unknown,,yes,provenance,med,https://www.vilcap.com/,,no explicit anti-power-law/VC-critique language found on fetched homepage or about page — Impact Capital anti-power-law criterion rests on impact positioning plus alternative structures (revenue-share/debt); dual role as accelerator operator + fund manager,Sovereign-candidate (impact accelerator); provenance — not searched yet | 2026-06-17 reclass -> Impact Capital (impact accelerator; web-verify pending). | audited 2026-07-02: https://www.vilcap.com/,United States,yes,"Describes itself as 'unlocking social and financial capital for impact-creating startups solving the world's biggest problems', supporting entrepreneurs through accelerator programs across climate, economic mobility, and essential-services themes while structuring, managing, and deploying funds.",,
zebra-impact-ventures,Zebra Impact Ventures,Impact Capital,Unknown,,yes,in_disguise,high,https://zebraventures.ch/,,"GROUP 6: page evidence confirms genuinely impact (explicit alternative-to-unicorn positioning, activist impact shareholder) — current class stands, no change needed; no liquidity horizon stated","2026-06-06 re-grounded: signal WEAK (name-based 'rethinking growth'; no explicit verbatim camel/zebra-vs-unicorn quote). Stays Reserved (impact/Sovereign-candidate, parked). | 2026-06-17 reclass -> Im | audited 2026-07-02: https://zebraventures.ch/",Switzerland,yes,"Describes itself as a Swiss-based investment firm, 'impact by nature and tech-driven', investing in early to growth-stage tech companies across agri-food, decarbonization, water & ocean, mobility, and energy via specialized funds and deal-by-deal strategies, acting as an activist shareholder with impact action plans.",,
zebras-and-company,Zebras and Company,Impact Capital,Unknown,,yes,in_disguise,med,https://www.zebrasand.co.jp/en/,An Investment Scheme Independent of IPO Plans and Designed to Think about Growth Together with Investors,"needs_review: proposing Reserved -> Impact Capital (real allocator, explicit zebra anti-unicorn/impact thesis, non-IPO-dependent scheme) BUT no clear tech focus on page (sectors: manufacturing, farming, heritage-site management), so Impact Capital's tech-enabled criterion may not be met; pre-existing reaudit/verify flag on this row; owner decision required | tech_enabled disagreement: csv=yes audit=no | owner-ruling 2026-07-03: Impact Capital; verify tech-enabled scope","2026-06-06 re-grounded: UNVERIFIABLE (page JS-rendered / won't fetch via curl). Reserved, parked; needs browser fetch. | audited 2026-07-02: https://www.zebrasand.co.jp/en/",Japan,yes,"Describes itself as investing in and participating in the management of zebra companies — 'companies that pursue both social and economic goals and value mutual benefit and coexistence' — reconciling corporate profits with solving social problems, and collaborating with governments, financial institutions, and academia; offers the 'LIFE type1' scheme independent of IPO plans.",,
noosa-labs,Noosa Labs,Permanent,Permanent,,yes,verified,high,https://noosalabs.com,"We don't flip Companies. We improve the product, support your customers and build on top of it.","dual legal entities on site (Noosa Labs Inc, Miami, FL, USA + Noosa Labs SASU, Paris, France) — HQ country ambiguous; United States chosen as first-listed entity",audited 2026-07-02: https://noosalabs.com,United States,yes,"Describes itself as buying small profitable SaaS businesses (mainly SMB/prosumer-focused), improving the product, supporting customers, and building on top of acquisitions rather than flipping them.",,
arising-ventures,Arising Ventures,Permanent,Permanent,,yes,verified,high,https://arisingventures.com,"We are structured as a long-term holding company, meaning we don't have the broken incentives of a fund.",HQ city conflicts across third-party sources (Las Vegas vs San Francisco); country US consistent across sources,audited 2026-07-02: https://www.arisingventures.com,United States,yes,"Describes itself as investing in great technology companies to give them new life, sustainable economics, and the right incentives; an ideal acquisition is a well-built software platform with an established competitive moat.",,
impro-ventures,Impro Ventures,SMV,Unknown,,yes,in_disguise,low,https://impro.ventures/,"We amplify the outcome by believing early, supporting with integrity, while providing with innovative growth strategies that save cashburn as well as preserve the ownership in the founders' hands.","OWNER-DIRECTED SMV / in_disguise (Ethan in-disguise vouch, 2026-06-06, alongside Startup Ignition). Live page fetched 2026-07-07 via Exa (site 403s normal fetch; Playwright bridge unavailable): reads as emerging-markets (Africa/LATAM/SEA) pre-seed-to-Series A impact VC screening for 'category definer or global scalability' with team bios citing 'scaling startups to unicorn status' - NO post-unicorn / sub-unicorn / anti-power-law signal. The exit_quote shown is the firm's real M&A/ownership-preservation line and does NOT support SMV. Classification kept per owner directive; confidence=low; CONFLICT FLAGGED FOR OWNER REVIEW.","2026-06-06 ADDED operator-directed (Ethan-vouched, in-disguise group w/ Startup Ignition). BUT own page shows NO anti-unicorn signal: Africa/LATAM/SEA pre-seed-Series A sustainability venture; seeks '",Spain,yes,No self-description retrievable this session: impro.ventures returned HTTP 403 Forbidden on fetch.,https://impro.ventures/,"firm site homepage, fetched via Exa 2026-07-07 (site 403s normal fetch)"
delta-fund,Delta Fund,Impact Capital,Unknown,,no,provenance,med,https://www.delta-fund.org/,,"needs_review: fund-of-funds/philanthropic intermediary — deploys catalytic capital into FUNDS and initiatives, not companies; adversarial check: 'invest in initiatives and funds' leaves slim direct-investment ambiguity, so this is propose (not apply) for Impact Capital -> Under Review; homepage thin (blog-first) | owner-ruling 2026-07-03: KEEP Impact (Ethan-vouched); OPEN for Ethan: fund-of-funds structure vs allocator test","2026-06-06 ADDED operator-directed. Ethan: 'impact fund, related to our work but not the focus; deserves a mention'. Own page = economic-justice / community-wealth / 100% employee-ownership; rejects ' | audited 2026-07-02: https://www.delta-fund.org/unlock-ownership-fund",United States,no,Homepage tagline: 'Confronting a broken economic system to build a world of well-being.' Its Unlock Ownership Fund self-describes as making it easy for DAF holders and donors to provide catalytic capital to emerging impact investing funds tackling race-based wealth inequality.,,
orbit-ventures,Orbit Ventures,Reserved,Unknown,,yes,provenance,med,https://orbitventures.com/,,"PARKED Reserved entity — never drop; page evidence supports no watch class (not search/ETA, not sovereign/DFI); 'sustained, profitable high growth' hints non-blitzscale but there is no explicit anti-power-law message; /about returned 404; owner review required before moving a parked entity | owner-ruling 2026-07-03: KEEP Reserved (Excluded-Traditional proposal rejected)","2026-06-06 ADDED operator-directed. Ethan: 'impact fund, related but not the focus; mention'. Own page = emerging/frontier-market tech accelerator-VC ($75M invested) but GROWTH+EXIT oriented ('sustain | audited 2026-07-02: https://orbitventures.com/",Singapore,yes,"Self-describes as 'SCALING BREAKTHROUGH TECHNOLOGIES ACROSS EMERGING AND FRONTIER MARKETS', investing in breakthrough companies and helping them scale across Asia, Africa, the Middle East, and Latin America in pursuit of sustained, profitable high growth.",,
mainsail-partners,Mainsail Partners,SMV,SMV,,yes,in_disguise,med,https://mainsailpartners.com/,invests in founder-led bootstrapped software companies). Tech-enabled growth equity. Inline-verified; no disqualifier. reservoir-r1 2026-06-,,reservoir-r1 2026-06-06: S2 deal-profile (invests in founder-led bootstrapped software companies). Tech-enabled growth equity. Inline-verified; no disqualifier. | audited 2026-07-02: https://mainsailpartners.com/,United States,yes,"Self-describes as a growth equity firm investing in B2B software and AI-enabled companies, partnering with founder-led, bootstrapped companies in a concentrated portfolio.",,
union-group-fund,Union Group Fund,Nimble,Unknown,,yes,in_disguise,low,https://www.uniongroupfund.com/,,"needs_review: no exit/horizon language on site — Nimble fast-liquidity output unverified; 'sustainable, purposeful growth' + cash-generative focus could equally read buy-and-hold (Permanent); /about returned 404; pending SMV/Nimble definition reconciliation","reservoir-r1 2026-06-06: S2 deal-profile (bootstrapped vertical SaaS, solopreneurs, livable/viable growth). Capital-efficient/modest -> Nimble. Inline-verified; no disqualifier. | audited 2026-07-02: https://www.uniongroupfund.com/",United States,yes,"Self-describes as developing and investing in small, bootstrapped, niche, cash-generative vertical SaaS companies, prioritizing sustainable, purposeful growth with a founder-friendly model.",,
serent-capital,Serent Capital,SMV,SMV,,yes,in_disguise,med,https://serentcapital.com/why-serent/,-r1 2026-06-06: S2 deal-profile (bootstrapped founders). Tech-enabled growth equity. Inline-verified; no disqualifier. || REAUDIT-FLAG: $6B-,GROUP 6 CONFLICT (surfaced per protocol): owner directive 'move all Group 6 to Impact' vs page evidence of SaaS growth equity with no impact/mission language on /why-serent — do not blanket-relabel; owner to resolve. Pre-existing reaudit + low-confidence in_disguise flags: identity and growth-equity thesis verified on live page 2026-07-02; no exit horizon stated,REAUDIT-FLAG: $6B-AUM growth-equity PE that exits ('celebrated our first exit'); genuine 'bootstrapped founders' focus but standard PE return model. Borderline - re-review. | audited 2026-07-02: https://serentcapital.com/why-serent/,United States,yes,"Self-describes as a 'Private Equity Investment Firm for Software Companies' that has paired with 70+ founder-led B2B software companies to build category-defining businesses, pairing capital with hands-on operating expertise for bootstrapped founders.",,
tvc-capital,TVC Capital,SMV,SMV,,yes,in_disguise,med,https://tvccapital.com/fund-focus/,"We partner with exceptional management teams to accelerate growth, maximize value and position for a profitable exit.",pre-existing reaudit/in_disguise flags: identity + growth-equity thesis verified on homepage 2026-07-02; stored /fund-focus/ URL failed twice (socket hang up) so evidence is from homepage; no numeric exit horizon stated,REAUDIT-FLAG: software growth-equity PE; 'capital-efficient $3M+ ARR' sourcing but does take-privates/roll-ups/recaps (exit model). Borderline - re-review. | audited 2026-07-02: https://tvccapital.com/,United States,yes,Self-describes as an operator-led growth equity firm in San Diego focused on investments in and acquisitions of innovative B2B software companies across industries poised for growth and consolidation.,,
expedition-growth-capital,Expedition Growth Capital,SMV,SMV,,yes,in_disguise,med,https://expedition.capital/,,dual offices (London + Boston) — HQ recorded as UK per first-listed office,"reservoir-r1 2026-06-06: S2 deal-profile (bootstrapped software/AI founders). Mild growth lean (""category leadership"") -> conf med. Tech-enabled; no hard disqualifier. | audited 2026-07-02: https://expedition.capital/",United Kingdom,yes,"Self-describes as 'Empowering bootstrapped software & AI founders', providing capital for growth and liquidity plus operational expertise to rapidly growing software & AI companies on their path to category leadership.",,
