entity_id,name,primary_asset_class,secondary_asset_classes,entity_type,website,active_status,source_tier,geography,sector_focus,capital_model,instrument_types,target_company_profile,non_unicorn_thesis,ecosystem_role,fit_score,evidence_status,last_verified_at,notes,moved_reason
stryber,Stryber,Ecosystem/Infrastructure,Unknown Candidate,corporate venture builder / venture studio operator,https://www.stryber.com/,active,public_web,Unknown,Unknown,Unknown,unknown,corporate venture builder / venture studio operator,candidate supports industry mapping outside or adjacent to classic unicorn VC,corporate venture builder / venture studio operator,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
the-awesome-foundation,The Awesome Foundation,Ecosystem/Infrastructure,Unknown Candidate,micro-grant program,https://www.awesomefoundation.org,active,public_web,Unknown,Unknown,Unknown,unknown,micro-grant program,candidate supports industry mapping outside or adjacent to classic unicorn VC,micro-grant program,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
gbeta,gBETA,Ecosystem/Infrastructure,Unknown Candidate,free no-equity accelerator,https://www.gener8tor.com/gbeta,active,public_web,Unknown,Unknown,Unknown,unknown,free no-equity accelerator,candidate supports industry mapping outside or adjacent to classic unicorn VC,free no-equity accelerator,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,Confirmed non-allocator (2 audit passes): real org but deploys no own capital; moved out of allocator atlas 2026-05-29
gtm-venture-studio,GTM Venture Studio,Portfolio Capital,Unknown Candidate,venture studio,https://www.gtmventurestudio.io,unknown,public_web,Unknown,Unknown,Unknown,unknown,venture studio,candidate supports industry mapping outside or adjacent to classic unicorn VC,venture studio,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
startupbootcamp,Startupbootcamp,Sovereign Capital,Unknown Candidate,capital provider / fund / acquirer / platform,https://startupbootcamp.org,unknown,public_web,Unknown,Unknown,Unknown,unknown,capital provider / fund / acquirer / platform,candidate supports industry mapping outside or adjacent to classic unicorn VC,capital provider / fund / acquirer / platform,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
brex-capital,Brex Capital,Sovereign Capital,Unknown Candidate,working capital provider,https://www.brex.com/product/capital,active,public_web,Unknown,Unknown,Unknown,unknown,working capital provider,candidate supports industry mapping outside or adjacent to classic unicorn VC,working capital provider,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
pritzker-innovation-fund,Pritzker Innovation Fund,Patient Capital,Unknown Candidate,family-foundation impact,https://www.pritzkerinnovationfund.org/,active,public_web,Unknown,Unknown,Unknown,unknown,family-foundation impact,candidate supports industry mapping outside or adjacent to classic unicorn VC,family-foundation impact,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
wk-kellogg-foundation,WK Kellogg Foundation,Patient Capital,Unknown Candidate,perpetual charitable foundation,https://www.wkkf.org/,active,public_web,Unknown,Unknown,Unknown,unknown,perpetual charitable foundation,candidate supports industry mapping outside or adjacent to classic unicorn VC,perpetual charitable foundation,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
halcyon,Halcyon,Patient Capital,Unknown Candidate,equity-free residential fellowship for entrepreneurs,https://halcyonaccelerator.org/,active,public_web,Unknown,Unknown,Unknown,unknown,equity-free residential fellowship for entrepreneurs,candidate supports industry mapping outside or adjacent to classic unicorn VC,equity-free residential fellowship for entrepreneurs,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
enterprise-angels,Enterprise Angels,LMV,Unknown Candidate,angel_network,https://www.enterpriseangels.co.nz/,active,public_web,Unknown,Unknown,Unknown,unknown,angel_network,candidate supports industry mapping outside or adjacent to classic unicorn VC,angel_network,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
gitcoin,Gitcoin,LMV,Unknown Candidate,quadratic_funding_allocator,https://gitcoin.co/,active,public_web,Unknown,Unknown,Unknown,unknown,quadratic_funding_allocator,candidate supports industry mapping outside or adjacent to classic unicorn VC,quadratic_funding_allocator,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
rcn-capital,RCN Capital,Patient Capital,Unknown Candidate,private direct real estate lender,https://www.rcncapital.com,active,public_web,Unknown,Unknown,Unknown,unknown,private direct real estate lender,candidate supports industry mapping outside or adjacent to classic unicorn VC,private direct real estate lender,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
surdna-foundation,Surdna Foundation,Patient Capital,Unknown Candidate,perpetual charitable foundation,https://surdna.org/,active,public_web,Unknown,Unknown,Unknown,unknown,perpetual charitable foundation,candidate supports industry mapping outside or adjacent to classic unicorn VC,perpetual charitable foundation,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
mcknight-foundation,McKnight Foundation,Patient Capital,Unknown Candidate,perpetual mission foundation,https://www.mcknight.org/,active,public_web,Unknown,Unknown,Unknown,unknown,perpetual mission foundation,candidate supports industry mapping outside or adjacent to classic unicorn VC,perpetual mission foundation,62,candidate_evidence,2026-05-28,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
duke-university-management-company-dumac,Duke University Management Company (DUMAC),Patient Capital,Unknown Candidate,university endowment manager,https://www.dumac.duke.edu/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment manager,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment manager,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
mit-investment-management-company-mitimco,MIT Investment Management Company (MITIMCo),Patient Capital,Unknown Candidate,university endowment manager,https://www.mitimco.org/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment manager,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment manager,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
stanford-management-company,Stanford Management Company,Patient Capital,Unknown Candidate,university endowment manager,https://smc.stanford.edu/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment manager,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment manager,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
the-university-of-texas-texas-a-m-investment-management-company-utimco,The University of Texas/Texas A&M Investment Management Company (UTIMCO),Patient Capital,Unknown Candidate,public university endowment manager,https://www.utimco.org/,active,public_web,Unknown,Unknown,Unknown,unknown,public university endowment manager,candidate supports industry mapping outside or adjacent to classic unicorn VC,public university endowment manager,62,candidate_evidence,2026-05-29,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
cornell-university-office-of-university-investments,Cornell University Office of University Investments,Patient Capital,Unknown Candidate,university endowment investment office,https://www.investmentoffice.cornell.edu/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment investment office,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment investment office,62,candidate_evidence,2026-05-30,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
notre-dame-investment-office,Notre Dame Investment Office,Patient Capital,Unknown Candidate,university endowment investment office,https://investment.nd.edu/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment investment office,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment investment office,62,candidate_evidence,2026-05-30,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
princeton-university-investment-company-princo,Princeton University Investment Company (PRINCO),Patient Capital,Unknown Candidate,university endowment investment company,https://princo.princeton.edu/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment investment company,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment investment company,62,candidate_evidence,2026-05-30,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
yale-investments-office,Yale Investments Office,Patient Capital,Unknown Candidate,university endowment investment office,https://investments.yale.edu/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment investment office,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment investment office,62,candidate_evidence,2026-05-30,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
northwestern-university-investment-office,Northwestern University Investment Office,Patient Capital,Unknown Candidate,university endowment direct-investment office,https://www.northwestern.edu/investment/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment direct-investment office,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment direct-investment office,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
vanderbilt-university-office-of-investments,Vanderbilt University Office of Investments,Patient Capital,Unknown Candidate,university endowment direct-investment office,https://www.vanderbilt.edu/investments/,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment direct-investment office,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment direct-investment office,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
washington-university-investment-management-company,Washington University Investment Management Company,Patient Capital,Unknown Candidate,university endowment direct-investment office,https://endowment.wustl.edu,active,public_web,Unknown,Unknown,Unknown,unknown,university endowment direct-investment office,candidate supports industry mapping outside or adjacent to classic unicorn VC,university endowment direct-investment office,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
simplicity-nz,Simplicity NZ,Patient Capital,Unknown Candidate,NZ non-profit KiwiSaver / diversified patient investor,https://www.simplicity.kiwi/,active,public_web,Unknown,Unknown,Unknown,unknown,NZ non-profit KiwiSaver / diversified patient investor,candidate supports industry mapping outside or adjacent to classic unicorn VC,NZ non-profit KiwiSaver / diversified patient investor,62,candidate_evidence,2026-05-31,Promoted from entity_intake_queue by intake verification agent; human review required before paper use.,
