entity_id,name,atlas_layer,reason
hawk-infinity-software,Hawk Infinity Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
healthcare-of-ontario-pension-plan-hoopp,Healthcare of Ontario Pension Plan (HOOPP),background,not in 258 tech base / non-tech
hum-capital,Hum Capital,background,not in 258 tech base / non-tech
indus-holding-ag,INDUS Holding AG,background,not in 258 tech base / non-tech
incofin-investment-management,Incofin Investment Management,background,not in 258 tech base / non-tech
invictus-growth-partners,Invictus Growth Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
iroquois-valley-farmland-reit,Iroquois Valley Farmland REIT,background,not in 258 tech base / non-tech
ithmar-capital,Ithmar Capital,background,not in 258 tech base / non-tech
llr-partners,LLR Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
lvo-industries,LVO Industries,background,not in 258 tech base / non-tech
lakefield-veterinary-group,Lakefield Veterinary Group,background,not in 258 tech base / non-tech
leo-software-group,Leo Software Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
local-enterprise-assistance-fund-leaf,Local Enterprise Assistance Fund (LEAF),background,not in 258 tech base / non-tech
m2o,M2O,background,not in 258 tech base / non-tech
maple-vc,Maple VC,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
multiplier-capital,Multiplier Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
nordstjernan,Nordstjernan,background,not in 258 tech base / non-tech
northspring-partners,Northspring Partners,background,not in 258 tech base / non-tech
novastone-capital-advisors,Novastone Capital Advisors,background,not in 258 tech base / non-tech
optrust,OPTrust,background,not in 258 tech base / non-tech
psp-investments,PSP Investments,background,not in 258 tech base / non-tech
pyxis-software-group,PYXiS Software Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
partners-for-growth,Partners for Growth,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
pearl-street-holdings,Pearl Street Holdings,background,not in 258 tech base / non-tech
penntech-holdings,PennTech Holdings,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
pentagreen-capital,Pentagreen Capital,background,not in 258 tech base / non-tech
proparco,Proparco,background,not in 258 tech base / non-tech
quadshift,Quadshift,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
raven-indigenous-capital-partners,Raven Indigenous Capital Partners,background,not in 258 tech base / non-tech
recur-software,Recur Software,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
redemptive-capital,Redemptive Capital,background,not in 258 tech base / non-tech
redesign-health,Redesign Health,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
redwood-services,Redwood Services,background,not in 258 tech base / non-tech
riverbound-partners,Riverbound Partners,background,not in 258 tech base / non-tech
sage-capital-partners,Sage Capital Partners,background,not in 258 tech base / non-tech
sartor-capital,Sartor Capital,background,not in 258 tech base / non-tech
satori-capital,Satori Capital,background,not in 258 tech base / non-tech
search-fund-ventures,Search Fund Ventures,background,not in 258 tech base / non-tech
searchright,SearchRight,background,not in 258 tech base / non-tech
seed-commons,Seed Commons,background,not in 258 tech base / non-tech
serafin-unternehmensgruppe,Serafin Unternehmensgruppe,background,not in 258 tech base / non-tech
state-of-wisconsin-investment-board-swib,State of Wisconsin Investment Board (SWIB),background,not in 258 tech base / non-tech
steward,Steward,background,not in 258 tech base / non-tech
stewardship-partners,Stewardship Partners,background,not in 258 tech base / non-tech
swedfund,Swedfund,background,not in 258 tech base / non-tech
symbiotics,Symbiotics,background,not in 258 tech base / non-tech
the-cambria-group,The Cambria Group,background,not in 258 tech base / non-tech
the-lightsmith-group,The Lightsmith Group,background,not in 258 tech base / non-tech
thesis-capital,Thesis Capital,background,not in 258 tech base / non-tech
torana-group,Torana Group,background,not in 258 tech base / non-tech
union-software-group,Union Software Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
verlinvest,Verlinvest,background,not in 258 tech base / non-tech
viceversa,Viceversa,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
waterequity,WaterEquity,background,not in 258 tech base / non-tech
wayfinder-capital,WayFinder Capital,background,not in 258 tech base / non-tech
workhorse-capital,Workhorse Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
workshop-ventures,Workshop Ventures,background,not in 258 tech base / non-tech
wrench-group,Wrench Group,background,not in 258 tech base / non-tech
xo-capital,XO Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
responsability-investments,responsAbility Investments,background,not in 258 tech base / non-tech
braccia-capital,Braccia Capital,background,not in 258 tech base / non-tech
deep-science-ventures,Deep Science Ventures,background,not in 258 tech base / non-tech
elemental-impact,Elemental Impact,background,not in 258 tech base / non-tech
enduring-planet,Enduring Planet,background,not in 258 tech base / non-tech
neta-foundation,NETA Foundation,background,not in 258 tech base / non-tech
refactor-capital,Refactor Capital,background,not in 258 tech base / non-tech
9t-capital,9T Capital,background,not in 258 tech base / non-tech
alza-capital,ALZA Capital,background,not in 258 tech base / non-tech
infinitas-partners,Infinitas Partners,background,not in 258 tech base / non-tech
mirablau,Mirablau,background,not in 258 tech base / non-tech
onetoone-asset-management,ONEtoONE Asset Management,background,not in 258 tech base / non-tech
search-fund-oz,Search Fund Oz,background,not in 258 tech base / non-tech
search-fund-pioneers-eu,Search Fund Pioneers (EU),background,not in 258 tech base / non-tech
vonzeo-capital,Vonzeo Capital,background,not in 258 tech base / non-tech
hal-investments,HAL Investments,background,not in 258 tech base / non-tech
industriv-rden,Industrivärden,background,not in 258 tech base / non-tech
investor-ab,Investor AB,background,not in 258 tech base / non-tech
korys,Korys,background,not in 258 tech base / non-tech
sofina,Sofina,background,not in 258 tech base / non-tech
teoh-capital,Teoh Capital,background,not in 258 tech base / non-tech
venture-growth-partners-australia,Venture Growth Partners (Australia),background,not in 258 tech base / non-tech
wendel,Wendel,background,not in 258 tech base / non-tech
8fig,8fig,background,not in 258 tech base / non-tech
choco-up,Choco Up,background,not in 258 tech base / non-tech
indifi,Indifi,background,not in 258 tech base / non-tech
multipli,Multipli,background,not in 258 tech base / non-tech
ratio,Ratio,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
tractor-ventures,Tractor Ventures,background,not in 258 tech base / non-tech
abu-dhabi-investment-authority-adia,Abu Dhabi Investment Authority (ADIA),background,not in 258 tech base / non-tech
adaptation-fund,Adaptation Fund,background,not in 258 tech base / non-tech
asian-infrastructure-investment-bank-aiib,Asian Infrastructure Investment Bank (AIIB),background,not in 258 tech base / non-tech
european-bank-for-reconstruction-and-development-ebrd,European Bank for Reconstruction and Development (EBRD),background,not in 258 tech base / non-tech
finance-in-motion,Finance in Motion,background,not in 258 tech base / non-tech
idb-invest,IDB Invest,background,not in 258 tech base / non-tech
international-finance-corporation-ifc,International Finance Corporation (IFC),background,not in 258 tech base / non-tech
multilateral-investment-guarantee-agency-miga,Multilateral Investment Guarantee Agency (MIGA),background,not in 258 tech base / non-tech
sifem-swiss-investment-fund-for-emerging-markets,SIFEM Swiss Investment Fund for Emerging Markets,background,not in 258 tech base / non-tech
u-s-international-development-finance-corporation-dfc,U.S. International Development Finance Corporation (DFC),background,not in 258 tech base / non-tech
mb2-dental,MB2 Dental,background,not in 258 tech base / non-tech
new-harbor-capital,New Harbor Capital,background,not in 258 tech base / non-tech
agri3-fund,AGRI3 Fund,background,not in 258 tech base / non-tech
ajvc,AJVC,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
apg-asset-management,APG Asset Management,background,not in 258 tech base / non-tech
agriculture-capital,Agriculture Capital,background,not in 258 tech base / non-tech
ajim-capital,Ajim Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
ambassador-development-group,Ambassador Development Group,background,not in 258 tech base / non-tech
beacon-behavioral-health-partners,Beacon Behavioral Health Partners,background,not in 258 tech base / non-tech
blue-collar-trades-group,Blue-Collar Trades Group,background,not in 258 tech base / non-tech
bluefront-equity,Bluefront Equity,background,not in 258 tech base / non-tech
canadian-co-operative-investment-fund,Canadian Co-operative Investment Fund,background,not in 258 tech base / non-tech
capifly,Capifly,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
capital-impact-partners,Capital Impact Partners,background,not in 258 tech base / non-tech
catalytic-futures-fund,Catalytic Futures Fund,background,not in 258 tech base / non-tech
cedo-capital,Cedo Capital,background,not in 258 tech base / non-tech
chisos,Chisos,background,not in 258 tech base / non-tech
climate-asset-management,Climate Asset Management,background,not in 258 tech base / non-tech
compagnie-du-bois-sauvage,Compagnie du Bois Sauvage,background,not in 258 tech base / non-tech
creation-investments-capital-management,Creation Investments Capital Management,background,not in 258 tech base / non-tech
crediblex,CredibleX,background,not in 258 tech base / non-tech
de-agostini,De Agostini,background,not in 258 tech base / non-tech
dermcare-management,DermCare Management,background,not in 258 tech base / non-tech
dirt-capital-partners,Dirt Capital Partners,background,not in 258 tech base / non-tech
epitome-capital,Epitome Capital,background,not in 258 tech base / non-tech
firstpick,FIRSTPICK,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
farmland-lp,Farmland LP,background,not in 258 tech base / non-tech
ferd-as,Ferd AS,background,not in 258 tech base / non-tech
firstcheck-africa,FirstCheck Africa,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
flapkap,FlapKap,background,not in 258 tech base / non-tech
flow48,Flow48,background,not in 258 tech base / non-tech
forest-investment-associates,Forest Investment Associates,background,not in 258 tech base / non-tech
founders-home-service-group,Founders Home Service Group,background,not in 258 tech base / non-tech
garlic-equity-capital,Garlic Equity Capital,background,not in 258 tech base / non-tech
generate-capital,Generate Capital,background,not in 258 tech base / non-tech
groupe-bruxelles-lambert,Groupe Bruxelles Lambert,background,not in 258 tech base / non-tech
gulf-islamic-investments-gii,Gulf Islamic Investments (GII),background,not in 258 tech base / non-tech
gulf-succession-partners,Gulf Succession Partners,background,not in 258 tech base / non-tech
hasan-vc,HASAN.VC,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
ingka-investments,Ingka Investments,background,not in 258 tech base / non-tech
invest-appalachia,Invest Appalachia,background,not in 258 tech base / non-tech
italmobiliare,Italmobiliare,background,not in 258 tech base / non-tech
kingdom-capital,Kingdom Capital,background,not in 258 tech base / non-tech
linea-capital,Linea Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
lioncrest-industries,Lioncrest Industries,background,not in 258 tech base / non-tech
liquidus-partners,Liquidus Partners,background,not in 258 tech base / non-tech
lynx-equity,Lynx Equity,background,not in 258 tech base / non-tech
milestone-search-capital,Milestone Search Capital,background,not in 258 tech base / non-tech
monarch-investment-partners,Monarch Investment Partners,background,not in 258 tech base / non-tech
n-1-capital,N+1 Capital,background,dropped: non-tech target
new-forests,New Forests,background,not in 258 tech base / non-tech
okintek-capital,Okintek Capital,background,not in 258 tech base / non-tech
outlast-fund,Outlast Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
peugeot-invest,Peugeot Invest,background,not in 258 tech base / non-tech
root-capital,Root Capital,background,not in 258 tech base / non-tech
rouge-river-capital,Rouge River Capital,background,not in 258 tech base / non-tech
shawbrook-eot-finance,Shawbrook EOT Finance,background,not in 258 tech base / non-tech
sila-services,Sila Services,background,not in 258 tech base / non-tech
southern-home-services,Southern Home Services,background,not in 258 tech base / non-tech
specialty1-partners,Specialty1 Partners,background,not in 258 tech base / non-tech
spring-lane-capital,Spring Lane Capital,background,not in 258 tech base / non-tech
succession-capital-partners-india,Succession Capital Partners India,background,not in 258 tech base / non-tech
talanton,Talanton,background,not in 258 tech base / non-tech
tenacity-works-fund,Tenacity Works Fund,background,not in 258 tech base / non-tech
the-seer-group,The SEER Group,background,not in 258 tech base / non-tech
trailhead-capital,Trailhead Capital,background,not in 258 tech base / non-tech
transition-capital-partners,Transition Capital Partners,background,not in 258 tech base / non-tech
untapped-global,Untapped Global,background,not in 258 tech base / non-tech
vetcor,Vetcor,background,not in 258 tech base / non-tech
veterinary-practice-partners,Veterinary Practice Partners,background,not in 258 tech base / non-tech
wing-vasiksiri,Wing Vasiksiri,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
i2i-ventures,i2i Ventures,background,not in 258 tech base / non-tech
acon-investments,ACON Investments,background,not in 258 tech base / non-tech
adenia-partners,Adenia Partners,background,not in 258 tech base / non-tech
africinvest,AfricInvest,background,not in 258 tech base / non-tech
alpine-investors,Alpine Investors,background,not in 258 tech base / non-tech
amethis,Amethis,background,not in 258 tech base / non-tech
apheon,Apheon,background,not in 258 tech base / non-tech
aqua-capital,Aqua Capital,background,not in 258 tech base / non-tech
ata-capital,Ata Capital,background,not in 258 tech base / non-tech
aterian-investment-partners,Aterian Investment Partners,background,not in 258 tech base / non-tech
aurora-capital-partners,Aurora Capital Partners,background,not in 258 tech base / non-tech
bgf,BGF,background,not in 258 tech base / non-tech
bangladesh-infrastructure-finance-fund,Bangladesh Infrastructure Finance Fund,background,not in 258 tech base / non-tech
builders-vision,Builders Vision,background,not in 258 tech base / non-tech
buoyant-ventures,Buoyant Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
capitalworks,Capitalworks,background,not in 258 tech base / non-tech
charlesbank-capital-partners,Charlesbank Capital Partners,background,not in 258 tech base / non-tech
chryscapital,ChrysCapital,background,not in 258 tech base / non-tech
churchill-asset-management,Churchill Asset Management,background,not in 258 tech base / non-tech
comvest-credit-partners,Comvest Credit Partners,background,not in 258 tech base / non-tech
congruent-ventures,Congruent Ventures,background,not in 258 tech base / non-tech
counteract,Counteract,background,not in 258 tech base / non-tech
court-square-capital-partners,Court Square Capital Partners,background,not in 258 tech base / non-tech
deutsche-beteiligungs-ag,Deutsche Beteiligungs AG,background,not in 258 tech base / non-tech
development-partners-international,Development Partners International,background,not in 258 tech base / non-tech
eb-capital,EB Capital,background,not in 258 tech base / non-tech
eci-partners,ECI Partners,background,not in 258 tech base / non-tech
energy-transition-ventures,Energy Transition Ventures,background,not in 258 tech base / non-tech
equistone-partners-europe,Equistone Partners Europe,background,not in 258 tech base / non-tech
everstone-capital,Everstone Capital,background,not in 258 tech base / non-tech
ffl-partners,FFL Partners,background,not in 258 tech base / non-tech
fors-capital,FORS Capital,background,not in 258 tech base / non-tech
gimv,Gimv,background,not in 258 tech base / non-tech
hall-capital,Hall Capital,background,not in 258 tech base / non-tech
helios-investment-partners,Helios Investment Partners,background,not in 258 tech base / non-tech
iconiq,ICONIQ,background,not in 258 tech base / non-tech
ig4-capital,IG4 Capital,background,not in 258 tech base / non-tech
injaro-investments,Injaro Investments,background,not in 258 tech base / non-tech
inside-capital-partners,Inside Capital Partners,background,not in 258 tech base / non-tech
kv-asia-capital,KV Asia Capital,background,not in 258 tech base / non-tech
kawisafi-ventures,KawiSafi Ventures,background,not in 258 tech base / non-tech
lockheed-martin-ventures,Lockheed Martin Ventures,background,not in 258 tech base / non-tech
mid-europa-partners,Mid Europa Partners,background,not in 258 tech base / non-tech
monroe-capital,Monroe Capital,background,not in 258 tech base / non-tech
muzinich-co,Muzinich & Co,background,not in 258 tech base / non-tech
neom-investment-fund,NEOM Investment Fund,background,not in 258 tech base / non-tech
newspring-mezzanine,NewSpring Mezzanine,background,not in 258 tech base / non-tech
nexxus-capital,Nexxus Capital,background,not in 258 tech base / non-tech
norsad-capital,Norsad Capital,background,not in 258 tech base / non-tech
norwest-equity-partners,Norwest Equity Partners,background,not in 258 tech base / non-tech
olympus-partners,Olympus Partners,background,not in 258 tech base / non-tech
oman-investment-authority,Oman Investment Authority,background,not in 258 tech base / non-tech
oval-partners,Oval Partners,background,not in 258 tech base / non-tech
pamlico-capital,Pamlico Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
patria-investments,Patria Investments,background,not in 258 tech base / non-tech
peakline-partners,Peakline Partners,background,not in 258 tech base / non-tech
pearl-capital-partners,Pearl Capital Partners,background,not in 258 tech base / non-tech
phatisa,Phatisa,background,not in 258 tech base / non-tech
premji-invest,Premji Invest,background,not in 258 tech base / non-tech
renew-capital,Renew Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
riverwood-capital,Riverwood Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
s2g-investments,S2G Investments,background,not in 258 tech base / non-tech
sahel-capital,Sahel Capital,background,not in 258 tech base / non-tech
saudi-industrial-development-fund,Saudi Industrial Development Fund,background,not in 258 tech base / non-tech
the-sovereign-fund-of-egypt,The Sovereign Fund of Egypt,background,not in 258 tech base / non-tech
tower-arch-capital,Tower Arch Capital,background,not in 258 tech base / non-tech
trinity-capital,Trinity Capital,background,not in 258 tech base / non-tech
trivest-partners,Trivest Partners,background,not in 258 tech base / non-tech
verod-capital,Verod Capital,background,not in 258 tech base / non-tech
victory-park-capital,Victory Park Capital,background,not in 258 tech base / non-tech
vista-credit-partners,Vista Credit Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
wind-point-partners,Wind Point Partners,background,not in 258 tech base / non-tech
i80-group,i80 Group,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
blue-frame-capital,Blue Frame Capital,background,not in 258 tech base / non-tech
eta-funding-partners,ETA Funding Partners,background,not in 258 tech base / non-tech
kingsway-search-xcelerator,Kingsway Search Xcelerator,background,not in 258 tech base / non-tech
nakani-capital-partners,Nakani Capital Partners,background,not in 258 tech base / non-tech
pinestone-capital,Pinestone Capital,background,not in 258 tech base / non-tech
search-capital-partners,Search Capital Partners,background,not in 258 tech base / non-tech
software-combined,Software Combined,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
trilogy-search-partners,Trilogy Search Partners,background,not in 258 tech base / non-tech
65-equity-partners,65 Equity Partners,background,not in 258 tech base / non-tech
asi-biz-exchange-eta-search-fund,ASI Biz-Exchange ETA Search Fund,background,not in 258 tech base / non-tech
altas-partners,Altas Partners,background,not in 258 tech base / non-tech
arpa-capital,Arpa Capital,background,not in 258 tech base / non-tech
btg-pactual-timberland-investment-group,BTG Pactual Timberland Investment Group,background,not in 258 tech base / non-tech
banner-ridge-partners,Banner Ridge Partners,background,not in 258 tech base / non-tech
bridge-capital,Bridge Capital,background,not in 258 tech base / non-tech
burford-capital,Burford Capital,background,not in 258 tech base / non-tech
cdib-capital-group,CDIB Capital Group,background,not in 258 tech base / non-tech
castlelake,Castlelake,background,not in 258 tech base / non-tech
crayhill-capital-management,Crayhill Capital Management,background,not in 258 tech base / non-tech
galena-asset-management,Galena Asset Management,background,not in 258 tech base / non-tech
greenbacker-capital,Greenbacker Capital,background,not in 258 tech base / non-tech
hollyport-capital,Hollyport Capital,background,not in 258 tech base / non-tech
icg-strategic-equity,ICG Strategic Equity,background,not in 258 tech base / non-tech
marathon-asset-management,Marathon Asset Management,background,not in 258 tech base / non-tech
nova-infrastructure,NOVA Infrastructure,background,not in 258 tech base / non-tech
newview-capital,NewView Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
northleaf-capital-partners,Northleaf Capital Partners,background,not in 258 tech base / non-tech
primary-wave-music,Primary Wave Music,background,not in 258 tech base / non-tech
promised-land-opportunity-zone-fund,Promised Land Opportunity Zone Fund,background,not in 258 tech base / non-tech
slm-partners,SLM Partners,background,not in 258 tech base / non-tech
spuri-capital,Spuri Capital,background,not in 258 tech base / non-tech
tree-line-capital-partners,Tree Line Capital Partners,background,not in 258 tech base / non-tech
v-rde-partners,Värde Partners,background,not in 258 tech base / non-tech
water-infrastructure-partners,Water Infrastructure Partners,background,not in 258 tech base / non-tech
xpv-water-partners,XPV Water Partners,background,not in 258 tech base / non-tech
african-capital-alliance,African Capital Alliance,background,not in 258 tech base / non-tech
all-in-capital,All In Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
anorak-ventures,Anorak Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
arizona-founders-fund,Arizona Founders Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
artha-venture-partners,Artha Venture Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
atento-capital,Atento Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
booom,BOOOM,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
beacon-fund,Beacon Fund,background,not in 258 tech base / non-tech
behind-genius-ventures,Behind Genius Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
cantos,Cantos,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
cortado-ventures,Cortado Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
emblem,Emblem,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
eximius-ventures,Eximius Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
flyover-capital,Flyover Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
inflexor-ventures,Inflexor Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
innova-memphis,Innova Memphis,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
investisseurs-partenaires-i-p,Investisseurs & Partenaires (I&P),background,not in 258 tech base / non-tech
kcrise-fund,KCRise Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
leonis-capital,Leonis Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
lumis-partners,Lumis Partners,background,not in 258 tech base / non-tech
magarac-venture-partners,Magarac Venture Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
mairs-power-venture-capital,Mairs & Power Venture Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
nabventures,NABVENTURES,background,not in 258 tech base / non-tech
nucleus-capital,Nucleus Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
redbud-vc,Redbud VC,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
robin-capital,Robin Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
sarah-smith-fund,Sarah Smith Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
sauce-vc,Sauce VC,background,not in 258 tech base / non-tech
silverton-partners,Silverton Partners,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
tilia-impact-ventures,Tilia Impact Ventures,background,not in 258 tech base / non-tech
wayfinder-ventures,Wayfinder Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
irrvrntvc,irrvrntVC,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
212,212,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
black-farmer-fund,Black Farmer Fund,background,not in 258 tech base / non-tech
black-sheep-capital,Black Sheep Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
bridgewest-ventures-nz,Bridgewest Ventures NZ,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
cambridge-innovation-capital,Cambridge Innovation Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
climate-vc-fund-2040-ventures,Climate VC Fund (2040 Ventures),core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
concrete-ventures,Concrete Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
eastend-ventures,Eastend Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
first-australians-capital,First Australians Capital,background,not in 258 tech base / non-tech
island-capital-partners,Island Capital Partners,background,not in 258 tech base / non-tech
lendistry-capital-partners,Lendistry Capital Partners,background,not in 258 tech base / non-tech
maui-toa,Maui Toa,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
maycomb-capital,Maycomb Capital,background,not in 258 tech base / non-tech
native-american-venture-fund-navf,Native American Venture Fund (NAVF),background,not in 258 tech base / non-tech
oxford-science-enterprises,Oxford Science Enterprises,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
psv-preseed-ventures,PSV (PreSeed Ventures),core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
pangaea-ventures,Pangaea Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
runway-rooted-fund,RUNWAY (Rooted Fund),background,not in 258 tech base / non-tech
restorative-economies-fund-kataly-foundation,Restorative Economies Fund (Kataly Foundation),background,not in 258 tech base / non-tech
sunwealth,Sunwealth,background,not in 258 tech base / non-tech
tricor-pacific-capital,Tricor Pacific Capital,background,not in 258 tech base / non-tech
triptyq-capital,Triptyq Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
virescent-ventures,Virescent Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
bergman-beving,Bergman & Beving,background,not in 258 tech base / non-tech
better-society-capital,Better Society Capital,background,not in 258 tech base / non-tech
boston-omaha,Boston Omaha,background,not in 258 tech base / non-tech
bronze-valley,Bronze Valley,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
cherokee-investment-management,Cherokee Investment Management,background,not in 258 tech base / non-tech
compass-diversified,Compass Diversified,background,not in 258 tech base / non-tech
development-bank-of-wales,Development Bank of Wales,background,not in 258 tech base / non-tech
eos-advisory,Eos Advisory,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
fintech-ventures-fund,Fintech Ventures Fund,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
g-o-a-t-brand-labs,G.O.A.T Brand Labs,background,not in 258 tech base / non-tech
hggc,HGGC,background,not in 258 tech base / non-tech
halcyon-futures,Halcyon Futures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
idun-industrier,Idun Industrier,background,not in 258 tech base / non-tech
judges-scientific,Judges Scientific,background,not in 258 tech base / non-tech
lifco,Lifco,background,not in 258 tech base / non-tech
metaplanet,Metaplanet,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
nexphase-capital,NexPhase Capital,background,not in 258 tech base / non-tech
northern-gritstone,Northern Gritstone,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
nucleation-capital,Nucleation Capital,background,not in 258 tech base / non-tech
oss-capital,OSS Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
outset-capital,Outset Capital,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
overline,Overline,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
penta-capital,Penta Capital,background,not in 258 tech base / non-tech
razor-group,Razor Group,background,not in 258 tech base / non-tech
soundcore-capital-partners,Soundcore Capital Partners,background,not in 258 tech base / non-tech
teqnion,Teqnion,background,not in 258 tech base / non-tech
wealth-partners-capital-group,Wealth Partners Capital Group,background,not in 258 tech base / non-tech
1337-ventures,1337 Ventures,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
ahl-venture-partners,AHL Venture Partners,background,not in 258 tech base / non-tech
arm-harith-infrastructure-investment,ARM-Harith Infrastructure Investment,background,not in 258 tech base / non-tech
activat-vc,Activat VC,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
anchorless-bangladesh,Anchorless Bangladesh,core,"tech-verified (Ethan Gate, re-verify+tiebreak 2026-06-01)"
