entity_id,name,primary_asset_class,target_economy,is_tech_for_vertical,reason
hummock-capital,Hummock Capital,Patient Capital,mixed,False,"Family partnership 'investing across multiple industries' in operating companies — generic, no sector/tech signal."
snell-ventures,Snell Ventures,Patient Capital,traditional,False,Ministry-focused family holdco owning 'manufacturing businesses and other companies' — physical manufacturing.
impact,Impact,Sovereign Capital,mixed,False,"Regional development capital across 'real estate, brownfield, housing, hotels, and tech (Astrobotic)' — explicitly both physical and tech."
vela-software-group,Vela Software Group,Portfolio Capital,tech,False,Funds/acquires vertical-market & enterprise software companies (Constellation operating group).
bridges-fund-management,Bridges Fund Management,Patient Capital,mixed,False,Impact PE in decarbonisation growth cos PLUS UK property/real assets and outcomes partnerships.
fika-ventures,Fika Ventures,LMV,tech,False,"Seed fund for B2B software, fintech and marketplace founders."
ford-foundation,Ford Foundation,Patient Capital,traditional,False,Grantmaking + Mission Investments into social-justice nonprofits and civic organizations.
founder-collective,Founder Collective,LMV,tech,False,"Sector-agnostic seed in tech startups (Uber, WHOOP, SeatGeek, Trade Desk, Suno, Shield AI)."
generation-investment-management,Generation Investment Management,Patient Capital,mixed,False,Pure-play sustainable manager across public + private + growth equity; no specific tech focus.
heron-foundation,Heron Foundation,Patient Capital,traditional,False,Mission investing into community-development enterprises and U.S. communities.
homebrew,Homebrew,Patient Capital,tech,False,"Seed fund for mission-driven founders solving problems explicitly ""using technology""."
iconiq-capital,Iconiq Capital,Patient Capital,mixed,False,Tech-disruption ventures (Anthropic) AND real assets; multi-platform family office.
koch-industries,Koch Industries,Portfolio Capital,mixed,False,"Diversified operator: paper, energy, ag, materials (physical) plus software businesses."
kresge-foundation,Kresge Foundation,Patient Capital,traditional,False,"Grants + social investments to U.S. cities, community-development, civic/human-services orgs."
leapfrog-investments,LeapFrog Investments,Patient Capital,mixed,False,"EM financial-services/healthcare incl. fintech (Moniepoint) AND physical energy/pharmacy (Sun King, Pharmacity, ReNew)."
long-journey-ventures,Long Journey Ventures,LMV,mixed,False,"Sector-agnostic early-stage fund; text (""weirdos/something crazy"") gives no tech signal."
marlin-equity-partners,Marlin Equity Partners,Portfolio Capital,tech,False,"Software & technology PE: take-privates and platform M&A (Bazaarvoice, Medius, Exegy)."
wefunder,"Wefunder,  ...",SMV,tech,False,Funds profit-focused software and software-enabled startups (calm/bootstrapped companies).
prime-coalition,Prime Coalition,Patient Capital,tech,True,Catalytic capital into early-stage climate technology companies.
solen-software-group,Solen Software Group,Portfolio Capital,tech,True,Permanent-capital acquirer of vertical/critical-workflow software businesses.
hyperplane-venture-capital,Hyperplane Venture Capital,LMV,tech,False,"First-check seed into AI, deep tech, infrastructure, robotics, defense, autonomy startups."
apex-capital-group,Apex Capital Group,Patient Capital,mixed,False,"Generic growth PE across ""select sectors""; intangibles-driven, no tech signal."
astia,Astia,LMV,mixed,False,Venture into women-led health/climate/prosperity companies; no explicit software/tech signal.
caisse-de-d-p-t-et-placement-du-qu-bec,Caisse de dépôt et placement du Québec,Sovereign Capital,mixed,False,"Diversified pension: private equity, infrastructure, real estate, public markets."
calpers,CalPERS,Sovereign Capital,mixed,False,Diversified public pension across global public and private markets.
calm-storm-ventures,Calm/Storm Ventures,LMV,tech,True,Most active HealthTech/digital-health seed investor in Europe.
capricorn-investment-group,Capricorn Investment Group,Patient Capital,mixed,False,"Climate/healthcare incl. physical energy/hardware (Fervo geothermal, Harbinger EVs)."
climate-investment-fund,Climate Investment Fund,Sovereign Capital,traditional,False,"Concessional/blended finance for physical climate PROJECTS (renewable energy, forests, resilience)."
diploma-plc,Diploma plc,Portfolio Capital,traditional,False,"Acquires specialist distribution / value-add product businesses (aerospace, healthcare, industrial)."
green-climate-fund,Green Climate Fund,Sovereign Capital,traditional,False,"UN climate finance for physical mitigation/adaptation PROJECTS (off-grid solar, decarbonisation)."
liberty-media,Liberty Media,Portfolio Capital,traditional,False,"Holding company for media/entertainment/sports assets (Formula 1, MotoGP)."
loews-corporation,Loews Corporation,Portfolio Capital,traditional,False,"Holding company in insurance, energy, hospitality, packaging industries."
markel-ventures,Markel Ventures,Portfolio Capital,traditional,False,"Permanent-capital acquirer of physical operating businesses (car-hauler equipment, handbags, insurance)."
norges-bank-investment-management,Norges Bank Investment Management,Sovereign Capital,mixed,False,"Sovereign wealth: ~7,200 listed equities, bonds, real estate, renewable infrastructure."
skoll-foundation,Skoll Foundation,Patient Capital,traditional,False,"Grants/investment in social entrepreneurs (community health, land rights, agriculture, education)."
sovereign-s-capital,Sovereign's Capital,Patient Capital,mixed,False,"Multi-strategy: early-stage tech VC AND LMM PE, public equities, real estate."
aspect-investors,Aspect Investors,Search/ETA,mixed,False,"Search-fund investor buying operating cos incl. software, healthcare AND manufacturing."
berkshire-partners-acquisitions,Berkshire Partners Acquisitions,Portfolio Capital,mixed,False,"Middle-market PE across digital infrastructure, services and industrials."
caltius-equity-partners,Caltius Equity Partners,Portfolio Capital,mixed,False,Debt & equity to generic middle-market companies; no sector/tech detail given.
emerson-collective,Emerson Collective,Patient Capital,traditional,False,"Impact investment in entrepreneurs in education, economic mobility, immigration, environment."
national-investment-infrastructure-fund-india,National Investment & Infrastructure Fund (India),Sovereign Capital,mixed,False,Sovereign fund: infrastructure assets and climate PLUS private-markets growth equity.
north-park-group,North Park Group,Patient Capital,traditional,False,Acquires family-owned U.S. manufacturing and distribution businesses.
revtek-capital,RevTek Capital,SMV,tech,False,Non-dilutive growth credit to recurring-revenue / SaaS companies.
trilogy-software,Trilogy Software,Portfolio Capital,tech,False,'AI-first SaaS operating platform that buys and scales software businesses'; acquires mature SaaS products. Core target is software.
enduring-ventures,Enduring Ventures,Patient Capital,mixed,False,"Explicitly 'industry-agnostic'; buys VC fallen angels, non-core divestitures, lower-middle-market turnarounds. No consistent tech focus."
evermore-industries,Evermore Industries,Patient Capital,traditional,False,Acquires/operates sectorless 'mission-critical businesses' from retiring owners; legacy-honoring holdco. No tech signal.
lab-one-capital,Lab One Capital,Patient Capital,traditional,False,"Buys/holds 'Western Canadian small businesses' and family-held companies forever. Main-street SMB, no tech signal."
long-holding-company,Long Holding Company,Portfolio Capital,mixed,False,"Buys 'B2B information / software / data / events businesses'; software/data pull tech, info/events pull traditional. Mixed."
opalkadia,OpalKadia,Patient Capital,mixed,False,"Operating platforms across 'capital, real assets, sports, media, wellness, tech'; real assets + tech together. Mixed."
sig-partners,SIG Partners,Patient Capital,traditional,False,"'Acquiring and growing great American businesses' $4M+ revenue, legacy-focused owners. Sectorless main-street SMB, no tech."
sagamore-mountain,Sagamore Mountain,Portfolio Capital,traditional,False,"Acquires regional Central Coast CA 'small businesses with consistent cash flow', no startups. Real-economy SMB, no tech."
saturn-five,Saturn Five,Patient Capital,traditional,False,"'Buying and operating some of the best small businesses in America'; main-street, cash-generating. No tech signal."
stoiclane,StoicLane,Portfolio Capital,traditional,False,"Builds 'Finance, Insurance & Real Estate (FIRE) businesses'; 'tech enablement opportunity' = uses-tech, not fintech. Traditional."
stonehelm-group,StoneHelm Group,Patient Capital,traditional,False,Acquires sectorless 'recurring revenue businesses' in niche inefficient markets + corporate carveouts. No tech signal.
traction,Traction,Patient Capital,traditional,False,"'Family-owned Western US businesses with $2M-$10M EBITDA'; permanent-capital. Sectorless SMB, no tech signal."
impro-ventures,Impro Ventures,LMV,tech,True,"Funds pre-seed/Series A 'edtech, hrtech, fintech, deeptech, agrotech, oceantech' in emerging markets. Tech serving verticals."
startup-ignition,Startup Ignition,LMV,tech,False,Pre-seed fund 'investing in visionary founders and early-stage SaaS and tech product companies'. Clearly software/tech.
aij-global-holdings,AIJ Global Holdings,Search/ETA,mixed,False,Search-fund SMEs + private equity + late-stage venture + commercial real estate. Multi-asset incl. real estate; mixed.
aegis-ventures,Aegis Ventures,Venture Studio,tech,True,"Venture studio building 'AI-native healthtech companies' in biomarkers, workflow automation, RWD. Tech serving healthcare."
align-capital-partners,Align Capital Partners,Portfolio Capital,mixed,False,"Software & Tech-Enabled Services PLUS Industrial Services, Specialty Manufacturing & Distribution. Both economies; mixed."
apis-heritage-capital-partners,Apis & Heritage Capital Partners,Patient Capital,traditional,False,"ESOP buyouts of SMEs in manufacturing, construction, logistics, waste, landscaping, agriculture, food processing. Real-economy."
appalachian-capital,Appalachian Capital,Patient Capital,traditional,False,"Appalachia 'boring' lower/middle-market companies, stable client bases, fragmented industries. Sectorless real-economy SMB."
arada-capital-partners,Arada Capital Partners,Search/ETA,traditional,False,"Acquires 'solid, profitable' SMEs worldwide via Search Funds. ETA thesis is non-tech; no sector/tech signal. Traditional."
bow-river-capital,Bow River Capital,Portfolio Capital,tech,False,"Software growth equity in 'Vertical SaaS, HCM SaaS' and tech-enabled services with durable ARR. Core target is software."
cofides,COFIDES,Sovereign Capital,mixed,False,"Spanish internationalization + impact; portfolio incl. PLD Space (space tech) alongside Sacyr, infra. Mixed sectors."
cranemere,Cranemere,Patient Capital,traditional,False,"Permanent capital for founder/family companies across 'services, industrial, and consumer sectors'. Real-economy, no tech."
crestmont-capital,Crestmont Capital,SMV,traditional,False,"Lender to SMBs across '500+ industries'; equipment financing, SBA, MCA, invoice. Main-street lending, no tech focus."
development-bank-of-southern-africa-dbsa,Development Bank of Southern Africa (DBSA),Sovereign Capital,traditional,False,"Infrastructure DFI: energy, water, ICT, transport, education, health projects. Physical infrastructure financing, not tech firms."
efficient-capital-labs,Efficient Capital Labs,SMV,tech,False,Non-dilutive ARR-based capital to 'cross-border SaaS and AI companies' with recurring revenue. Core target is software/AI.
fonsis-fonds-souverain-d-investissements-strat-giques,FONSIS (Fonds Souverain d'Investissements Stratégiques),Sovereign Capital,mixed,False,Text is only 'national sovereign strategic investment fund (Senegal)'; too thin to determine target economy.
garden-city-equity,Garden City Equity,Patient Capital,traditional,False,"Permanent holdco acquiring sectorless founder/family businesses, $5-25M net income, 'forever home'. Main-street, no tech."
grupo-santa-marta,Grupo Santa Marta,Search/ETA,traditional,False,Search-fund investor in Spanish 'cash-flow-positive SMBs in succession scenarios'. ETA thesis non-tech; no sector signal.
hoban-family-office,Hoban Family Office,Patient Capital,traditional,False,"'Real estate investment' family office: commercial/multi-family real estate, acquisitions, JVs in Pacific NW. Real assets, not proptech."
impact-fund-denmark-ifu,Impact Fund Denmark (IFU),Sovereign Capital,mixed,False,"DFI: Green Energy & Infra, Financial Services, Food, Healthcare in 45+ countries; incl. venture capital sleeve. Mixed."
innesto-partners,Innesto Partners,Search/ETA,traditional,False,"European search funds buying 'profitable small businesses in fragmented industries' with stable cash flows. ETA, no tech signal."
ireland-strategic-investment-fund-isif,Ireland Strategic Investment Fund (ISIF),Sovereign Capital,mixed,False,"Sovereign fund: climate, housing, energy grid PLUS quantum computing (Equal1). Tech sleeve alongside infra; mixed."
legacy-holdings,Legacy Holdings,Patient Capital,traditional,False,"Permanent capital for 'family-owned American infrastructure businesses' in fragmented industries, Southeast. Real-economy SMB."
legacy-search-partners,Legacy Search Partners,Search/ETA,traditional,False,"European ETA investor; search funds buying 'profitable owner-managed businesses', succession deals. ETA thesis non-tech."
maharlika-investment-corporation-mic,Maharlika Investment Corporation (MIC),Sovereign Capital,traditional,False,"Philippine SWF: power grid, energy security (Petron crude inventory), national-development infra. Physical infrastructure, not tech."
milk-street-ventures,Milk Street Ventures,Search/ETA,traditional,False,Search-fund investor backing searchers becoming company owners/CEOs. ETA thesis non-tech; no sector/tech signal. Traditional.
moonbase-capital,Moonbase Capital,Search/ETA,traditional,False,"Fund of search funds; 'established but stagnating SMEs in succession scenarios' globally. ETA thesis non-tech, no sector signal."
newton-equity-partners,Newton Equity Partners,Search/ETA,traditional,False,Fund-of-search-funds on 'succession-driven B2B SMEs'. ETA thesis non-tech; no tech sector signal. Traditional.
nigeria-sovereign-investment-authority-nsia,Nigeria Sovereign Investment Authority (NSIA),Sovereign Capital,mixed,False,"SWF: infra (data centers, ports), healthcare, renewable energy PLUS digital/tech Impact Innovation Fund. Mixed sectors."
norfund-norwegian-investment-fund-for-developing-countries,Norfund (Norwegian Investment Fund for Developing Countries),Sovereign Capital,mixed,False,"DFI funding renewable energy, green infrastructure, financial inclusion in developing countries; physical assets + financial services, not software."
obran-cooperative,Obran Cooperative,Patient Capital,traditional,False,"Acquires operating businesses in Health, Employment Services, Logistics — physical/labor businesses, no tech as core product."
patona-partners,Patona Partners,Patient Capital,mixed,False,"Family office buys $10-100M-sales cos across business services, industrial, financial services, consumer retail, technology, media — broad mix incl. tech."
project-equity,Project Equity,Patient Capital,traditional,False,"Employee-ownership transitions for SMBs in Manufacturing and Food — physical operating businesses, no tech signal."
pula-fund-bank-of-botswana,Pula Fund (Bank of Botswana),Sovereign Capital,mixed,False,"Sovereign wealth fund investing foreign-reserve surpluses across global financial markets; multi-asset, not tech-specific."
recurring-capital-partners,Recurring Capital Partners,SMV,tech,False,"Growth debt for B2B SaaS founders ($4-30M ARR, high gross margins) — clearly funds software companies; horizontal SaaS, no single vertical."
remote-first-capital,Remote First Capital,LMV,tech,False,"Funds remote-work tools, global-work tools, engineering and no-code tools — software products; horizontal, not a named vertical."
smeventures,SMEVentures,Search/ETA,traditional,False,"Search fund acquiring asset-light B2B service SMEs ($1.5-6M EBITDA) from retiring owners; service businesses, no software signal."
spectra-investments,Spectra Investments,Search/ETA,mixed,False,"Backs searchers acquiring SMEs across Brazil/LatAm/globally; sector-agnostic search-fund LP, no tech signal — too thin to call tech."
spectrum-equity,Spectrum Equity,SMV,tech,False,"Growth equity for recurring-revenue software/internet companies (Ancestry, AllTrails, Definitive Healthcare) — clearly tech; horizontal software/internet."
superangel-fund,SuperAngel.Fund,LMV,mixed,False,"Invests in Consumer (CPG brands physical) plus eCommerce SaaS, marketplaces, PropTech, Future of Work — genuinely both tech and physical."
ttcer-partners,TTCER Partners,Search/ETA,mixed,False,Search fund backing recurring-revenue cash-flow businesses; no sector named and no software signal — too thin to call tech.
tembo-search-partners,Tembo Search Partners,Search/ETA,traditional,False,"Search fund buying German Mittelstand SME succession in education, clean tech, health — physical operating businesses, no software signal."
tet-ventures,Tet Ventures,LMV,mixed,False,"Foodtech investing in teams 'rebuilding the global food system'; food is partly physical/partly platform — ambiguous, do not guess tech."
vesta-software-group,Vesta Software Group,Portfolio Capital,tech,True,"Buy-and-hold acquirer of vertical market software companies (60+ acquisitions, Constellation-style) — funds tech serving named verticals."
vibe-capital,Vibe Capital,LMV,tech,False,"Early-stage equity into technology companies globally (emerging markets) — funds tech startups; generic 'technology', no single vertical."
visible-hands-vhnyc-fellowship,Visible Hands (VHNYC Fellowship),LMV,tech,False,Fellowship/grant for early-stage founders building tech or tech-enabled startups in NYC — startup accelerator funding software startups.
vistara-growth,Vistara Growth,SMV,tech,False,"Growth debt/equity for mid-later-stage technology companies across North America — clearly funds tech; generic 'technology', no single vertical."
volition-capital,Volition Capital,SMV,tech,False,"Growth equity into capital-efficient software, CTV ad-tech, workforce data infrastructure, modern ops platforms — software; horizontal."
wad-capital,WAD Capital,Search/ETA,traditional,False,"Institutional search fund buying European SMEs in B2B services, energy transition, healthcare — real-economy operating businesses, no software signal."
zero-1,Zero 1,Venture Studio,mixed,False,"Corporate venture builder co-building new companies (Lifted, Heata, Zoe) with corporates; no software word — too thin to call tech."
base-case-capital,base case capital,LMV,mixed,False,Writes first checks into pre-product/pre-idea founders ('builders still dreaming'); no sector or software signal — too thin to call tech.
alaska-permanent-fund-corporation,Alaska Permanent Fund Corporation,Sovereign Capital,mixed,False,"Sovereign wealth fund: global multi-asset portfolio (public equities, PE, real estate, fixed income) — not tech-specific."
align-collaborate,Align Collaborate,Search/ETA,mixed,False,"Equity for independent sponsors in LMM: business services, industrial services, software, tech-enabled services, manufacturing, distribution — broad buyout mix."
alleyway-capital,Alleyway Capital,Portfolio Capital,tech,False,"Acquires small SaaS, marketplaces, content sites ($200K-$2M ARR) — buys digital/software businesses; horizontal digital, no single vertical."
american-operator,American Operator,Search/ETA,traditional,False,"All-cash acquisition of Main Street SMBs from retiring owners (plumbing, painting, communications) — physical service businesses."
apex-service-partners,Apex Service Partners,Portfolio Capital,traditional,False,"Consolidation platform for local HVAC, plumbing, electrical contractors across 50+ markets — physical home-services businesses."
avon-river-ventures,Avon River Ventures,SMV,mixed,False,"Structured credit/RBF/asset-based lending to SMBs and specialty lenders in G7; sector-agnostic real-economy lending, no tech signal."
bahrain-mumtalakat-holding-company,Bahrain Mumtalakat Holding Company,Sovereign Capital,mixed,False,"Sovereign wealth fund of Bahrain, sector-agnostic strategic assets (e.g. McLaren Automotive) — multi-asset, not tech-specific."
bay-grove,Bay Grove,Patient Capital,traditional,False,Owner-operator permanent holdco; platform lineage is Lineage Logistics (cold-storage warehousing) — physical logistics/real assets.
beacon-software,Beacon Software,Portfolio Capital,tech,True,Permanent acquirer of essential 'Main Street software' businesses ($1M+ ARR) — buys vertical software serving Main Street sectors.
big-band-software,Big Band Software,Portfolio Capital,tech,False,"Buy-and-hold acquirer of B2B SaaS companies ($1-10M ARR) — clearly funds software; horizontal B2B SaaS, no single vertical."
blenheim-chalcot,Blenheim Chalcot,Venture Studio,tech,True,"Venture builder originating tech ventures in financial services, education, public services, health (62 built) — funds tech across named verticals."
blue-like-an-orange-sustainable-capital,Blue like an Orange Sustainable Capital,Sovereign Capital,mixed,False,"Mezzanine debt to EM SMEs in renewable energy, infrastructure, healthcare, education, financial services, agribusiness — physical/impact, not software."
bluejay-capital,Bluejay Capital,Portfolio Capital,traditional,False,"Independent sponsor in transportation & logistics: trucking, freight rail, ports, warehousing, last-mile — overwhelmingly physical; 'tech-enabled' is the trap."
british-columbia-investment-management-corporation-bci,British Columbia Investment Management Corporation (BCI),Sovereign Capital,mixed,False,"Institutional pension investor, global multi-asset (credit, PE, infrastructure, real estate) for public-sector clients — not tech-specific."
cpc,CPC,Portfolio Capital,mixed,False,Perpetual buy-build-hold holdco acquiring 'great businesses' with no enterprise leverage; no sector or software signal — too thin to call tech.
cake-ventures,Cake Ventures,LMV,tech,False,"Pre-seed/seed into products for 'tomorrow's internet users' (aging, women's spending, deskless work) — funds internet/software startups; horizontal."
cephas-partners,Cephas Partners,Patient Capital,mixed,False,Faith-based PE deploying alternative investments globally; no sector or software signal — too thin to call tech.
cicero-capital,Cicero Capital,Search/ETA,mixed,False,Search fund acquiring and operating one Indian SME (succession); no sector named and no software signal — too thin to call tech.
climate-fund-managers,Climate Fund Managers,Sovereign Capital,traditional,False,"Funds physical climate infrastructure/real assets: renewable energy, water/sanitation, green hydrogen, green grids, resilient cities in emerging markets. Not software."
coho-growth-capital,Coho Growth Capital,SMV,tech,False,'Growth Debt for Software Companies' lending to B2B software/SaaS firms with $2-20M revenue.
continua,Continua,Portfolio Capital,mixed,False,Holdco acquiring established businesses 'across software and industrial sectors' — both tech and physical industrial.
cornisa-capital,Cornisa Capital,Search/ETA,mixed,False,Search fund acquiring one Chilean company in a 'fragmented industry'; no sector or tech signal named — too thin to call tech.
cottonwood-acquisitions,Cottonwood Acquisitions,Patient Capital,mixed,False,Family office buying generic 'small to mid-sized businesses'; no sector or tech signal stated.
define-capital,Define Capital,Portfolio Capital,tech,False,"Permanent home for 'B2B SaaS, on-premise, or software-enabled businesses' — core product is software."
diagram,Diagram,Venture Studio,tech,True,"Venture builder creating Fintech and Climatetech software companies (Synctera, Nesto, ClearEstate); fintech = tech serving traditional sector."
empowered-ventures,Empowered Ventures,Patient Capital,mixed,False,"ESOP holdco buying businesses with 'differentiated products, stable financials'; no sector or tech signal named."
encore-one,Encore One,Search/ETA,mixed,False,Co-invests in generic 'lower middle-market companies' change-of-control deals; no sector or tech signal stated.
exa-capital,Exa Capital,Portfolio Capital,tech,False,"'Forever home for enterprise software companies' (healthtech, HR solutions) — core product is software."
forum-family-office,FORUM Family Office,Patient Capital,mixed,False,"Buys generic small/medium European companies plus listed mid-cap niche leaders; no sector or tech signal — diversified, too thin for tech."
faith-driven-vc,Faith Driven VC,LMV,tech,False,"Backs scalable Christian-marketplace ventures (Amazon/Airbnb/Uber/App Store analogues, ARK marketplace + Arkbnb) — software platforms/marketplaces."
fenix-holdco,Fenix Holdco,Portfolio Capital,traditional,False,"Acquires/operates physical essential businesses: water treatment systems, industrial components manufacturing, agricultural systems."
foundation-investment-partners,Foundation Investment Partners,Patient Capital,traditional,False,"Buys niche industrial SMBs: paper packaging, industrial tools, drainage distribution — physical manufacturing/distribution."
fullsteam,Fullsteam,Portfolio Capital,tech,False,Vertical SaaS / industry-specific software acquirer plus payments platform; targets are software companies (VMS roll-up).
fundsquire,Fundsquire,SMV,mixed,False,"Non-dilutive finance to UK SaaS but also manufacturing, renewables/cleantech, medtech, agritech — genuinely mixed sectors."
greybull-stewardship,Greybull Stewardship,Patient Capital,mixed,False,Buys generic 'established smaller US-based private businesses'; no sector or tech signal stated.
guardians-of-new-zealand-superannuation-nz-super-fund,Guardians of New Zealand Superannuation (NZ Super Fund),Sovereign Capital,mixed,False,"Diversified sovereign pension: global growth equities, NZ infrastructure (offshore wind), venture fund — spans physical infra and equities."
hanover-partners,Hanover Partners,Patient Capital,traditional,False,"Acquires proprietary-product, capital-equipment and engineered-systems companies — physical industrial manufacturing."
hashed-health,Hashed Health,Venture Studio,tech,True,"Healthcare venture studio building healthtech software companies (ProCredEx, Bramble Health); healthtech = tech serving a traditional sector."
hassan-equity,Hassan Equity,Patient Capital,traditional,False,"Permanent holdco owning financial services, energy, real estate, workforce/business-solutions companies — physical/services real-economy."
hawk-infinity-software,Hawk Infinity Software,Portfolio Capital,tech,False,Nordic niche B2B software serial acquirer; targets are founder-led software businesses (compounding holdco).
healthcare-of-ontario-pension-plan-hoopp,Healthcare of Ontario Pension Plan (HOOPP),Sovereign Capital,mixed,False,"Diversified institutional pension across public equities, infrastructure, private credit/equity, real estate — spans physical assets and equities."
hum-capital,Hum Capital,SMV,mixed,False,Funding platform connecting generic 'growth companies' with capital ($1M-$50M); no sector or tech signal in the targets named.
indus-holding-ag,INDUS Holding AG,Patient Capital,traditional,False,Evergreen holdco of Mittelstand engineering/industrial companies in family succession — physical industrial.
incofin-investment-management,Incofin Investment Management,Patient Capital,traditional,False,"Impact manager financing inclusive-finance institutions, food/agri value-chain firms, and water-sector firms in emerging markets — financial/physical."
invictus-growth-partners,Invictus Growth Partners,Portfolio Capital,tech,False,"Acquires/invests in B2B SaaS ($10M+ ARR) in automation, cloud software, cybersecurity, fintech — core product is software."
iroquois-valley-farmland-reit,Iroquois Valley Farmland REIT,Patient Capital,traditional,False,"Farmland REIT buying physical organic farmland and conservation ranches — real assets, not tech."
ithmar-capital,Ithmar Capital,Sovereign Capital,mixed,False,Moroccan sovereign fund backing 'multi-sector transformational' strategic projects; no sector or tech signal specified — too broad to call tech.
llr-partners,LLR Partners,Portfolio Capital,tech,False,"Lower-middle-market PE focused on software and tech-enabled companies (fintech, healthcare, education, industrial software)."
lvo-industries,LVO Industries,Portfolio Capital,mixed,False,Patient capital to private companies and 'industrial families' plus public-market equities; no tech signal — industrial/diversified.
lakefield-veterinary-group,Lakefield Veterinary Group,Portfolio Capital,traditional,False,"Acquires physical veterinary practices for succession — operates real-economy practices, not software."
leo-software-group,Leo Software Group,Portfolio Capital,tech,False,Constellation/Vela operating group buying-and-holding B2B vertical/enterprise software businesses — core product is software.
local-enterprise-assistance-fund-leaf,Local Enterprise Assistance Fund (LEAF),Patient Capital,traditional,False,"Nonprofit CDFI financing co-ops, small businesses, and healthy-food businesses — community/physical real-economy, no tech."
m2o,M2O,Search/ETA,mixed,False,Family office backing search-fund entrepreneurs and long-term-hold acquisitions; no sector or tech signal named.
maple-vc,Maple VC,LMV,tech,False,First-check seed venture firm backing global seed/pre-seed startups (SF/Canada/Cambridge/Korea networks) — venture-scale tech startups.
multiplier-capital,Multiplier Capital,SMV,tech,False,Growth-debt/term-loan lender to 'rapidly growing tech-enabled growth companies'.
nordstjernan,Nordstjernan,Patient Capital,traditional,False,Family-controlled house holding Nordic industrial/services companies for decades; no tech signal — industrial real-economy.
northspring-partners,Northspring Partners,Search/ETA,mixed,False,Search-fund-of-funds backing entrepreneurs acquiring generic micro-cap businesses ($5-40M rev); no sector or tech signal stated.
novastone-capital-advisors,Novastone Capital Advisors,Search/ETA,mixed,False,Operator-led search fund program for generic 'SME succession' globally; no sector or tech signal named.
optrust,OPTrust,Sovereign Capital,mixed,False,Public pension 'global diversified portfolio' across public + private + infrastructure + real estate; multi-asset with no tech focus.
psp-investments,PSP Investments,Sovereign Capital,mixed,False,"Pension 'global multi-asset portfolio: PE, infrastructure, credit, real estate, natural resources'; diversified, no tech signal."
pyxis-software-group,PYXiS Software Group,Portfolio Capital,tech,True,"Buy-and-hold acquirer of 'vertical market software companies' (attractions, K-12, logistics, payments) — VMS serving verticals."
partners-for-growth,Partners for Growth,SMV,tech,False,"'Growth-debt provider for tech / innovation companies', often VC-backed; funds the tech/innovation economy broadly."
pearl-street-holdings,Pearl Street Holdings,Search/ETA,traditional,False,"Acquires 'lower middle market manufacturing & industrial services businesses' — physical industrial operators, not tech."
penntech-holdings,PennTech Holdings,Portfolio Capital,tech,False,Holdco acquiring 'profitable niche B2B software & tech-enabled services companies' — software is the core product.
pentagreen-capital,Pentagreen Capital,Sovereign Capital,traditional,False,"Blended-finance debt for 'clean infrastructure projects in Asia' — physical infrastructure, not tech-enabled companies."
proparco,Proparco,Sovereign Capital,mixed,False,"DFI lending/equity to 'private companies and financial institutions' across Africa/Asia/LatAm; broad development finance, no tech focus."
quadshift,Quadshift,Portfolio Capital,tech,True,Serial acquirer of 'B2B vertical market software in regulated / essential industries' — VMS serving verticals.
raven-indigenous-capital-partners,Raven Indigenous Capital Partners,Patient Capital,mixed,False,"Seed-Series B VC in 'Indigenous-led B2B & B2C companies'; no software/platform signal in targets, too thin to call tech."
recur-software,Recur Software,Portfolio Capital,tech,True,"Holdco for 'mission-critical vertical software companies, $1M-$10M ARR' — vertical SaaS is the core product."
redemptive-capital,Redemptive Capital,Patient Capital,traditional,False,"Multi-strategy across 'value-add / distressed real estate, faith-aligned businesses, asset-backed lending' — real assets, not tech."
redesign-health,Redesign Health,Venture Studio,tech,True,"Venture builder of 'next-generation healthcare companies', 'applied technology platform', AI-native — healthtech for the health vertical."
redwood-services,Redwood Services,Portfolio Capital,traditional,False,"Roll-up of 'residential HVAC, Plumbing and Electrical home services businesses' — physical home-services operators."
riverbound-partners,Riverbound Partners,Search/ETA,traditional,False,Acquires faith-driven 'services/distribution/manufacturing' companies $2-5M EBITDA — physical real-economy businesses.
sage-capital-partners,Sage Capital Partners,Search/ETA,mixed,False,Search-fund investor in 'Canadian SMEs in the lower mid-market'; generic SMEs with no tech signal.
sartor-capital,Sartor Capital,Search/ETA,mixed,False,"Search fund acquiring a 'mid-sized Mexican company with recurring revenue in a growing industry'; no tech signal, single SME."
satori-capital,Satori Capital,Patient Capital,mixed,False,"PE in companies '$5M-$50M EBITDA, mission/purpose-driven'; generic conscious-capitalism targets, no tech signal."
search-fund-ventures,Search Fund Ventures,Search/ETA,traditional,False,"Buys 'small businesses with essential services, 10+ years operating history'; SMBs with 'AI upside' as add-on, not tech targets."
searchright,SearchRight,Search/ETA,mixed,False,"Co-invests in 'European SMEs (Benelux) seeking succession' via search funds; generic SMEs, no tech signal."
seed-commons,Seed Commons,Patient Capital,traditional,False,"Non-extractive CDFI loans to 'worker cooperatives and communities' — community/real-economy lending, not tech."
serafin-unternehmensgruppe,Serafin Unternehmensgruppe,Patient Capital,mixed,False,Family holdco investing in 'established European companies across diversified industries'; no tech focus.
state-of-wisconsin-investment-board-swib,State of Wisconsin Investment Board (SWIB),Sovereign Capital,mixed,False,"Pension 'diversified institutional portfolio (public equities, private credit, private markets)'; multi-asset, no tech focus."
